,,,,,
"Source:  USCIS, as of June 30, 2017. Notes: All data are based on approved petitions during the fiscal year.  Per USCIS best practices, units of less than 10 are aggregated so as to limit the possibility of the de-anonymization of data.  “D” represents data withheld to protect privacy.  Total number of beneficiaries includes initial, renewal, cap-subject, and cap-exempt petitions. While some company names may appear multiple times, USCIS does not combine companies even where the names are the same because in all cases the employer tax identification numbers are different. Missing Education means the education field is not captured by the USCIS electronic data storage system.  Average salary includes both full-time and part-time employment.  In lieu of the required degree a beneficiary may qualify based on a combination of education, training, and/or progressively responsible experience in the specialty that is equivalent to the completion of such a degree, and recognition of expertise in the specialty through progressively responsible positions directly related to the specialty.",,,,,
Employer Information,,Petition Information by Employer,,,
Employer Tax Number (Last 4 Digits),Employer Name,Total Number of Approved Petitions,Average Salary ($5),Beneficiary Degree/Diploma,
5207,KELLER FOUNDATIONS LLC,420," 84,006",Bachelor's,152
,,,,Doctorate,D
,,,,Master's,260
,,,,Professional,D
0009,EMC COPRORATION,376," 97,569",Bachelor's,149
,,,,Doctorate,D
,,,,Master's,220
3497,AMERICA EXPRESS TRAVEL RELAT,375," 104,828",Bachelor's,256
,,,,Doctorate,D
,,,,Master's,117
,,,,Professional,D
5132,RANDSTAD TECH LP,374," 104,292",Bachelor's,246
,,,,Master's,128
6945,COMPUTER SCIENCES CORPORATION,359," 81,287",Bachelor's,198
,,,,Master's,160
,,,,Some College,D
0487,PAYPAL INC,350," 129,601",Bachelor's,137
,,,,Doctorate,D
,,,,Master's,206
4409,WAL MART ASSO INC,343," 123,205",Bachelor's,139
,,,,Doctorate,10
,,,,Master's,189
,,,,Professional,D
,,,,Some College,D
0924,EBAY INC,340," 134,779",Bachelor's,116
,,,,Doctorate,D
,,,,High School,D
,,,,Master's,211
,,,,Professional,D
,,,,Some College,D
1325,POLARIS CONS & SVCS LTD F/K/,339," 70,795",Bachelor's,161
,,,,High School,D
,,,,Master's,177
2023,LINKEDIN CORP,331," 142,804",Bachelor's,85
,,,,Doctorate,35
,,,,Master's,211
6583,HTC GLOBAL SERVICES INC,325," 78,813",Bachelor's,210
,,,,Master's,115
1436,HEWLETT-PACKARD COMPANY,315," 113,833",Bachelor's,112
,,,,Doctorate,16
,,,,Master's,186
,,,,Professional,D
6778,CGI TECH & SOLUTIONS INC,310," 82,157",Associates,D
,,,,Bachelor's,194
,,,,Master's,115
6365,STANFORD UNIVERSITY,289," 82,709",Bachelor's,15
,,,,Doctorate,216
,,,,Master's,28
,,,,Professional,30
2913,VMWARE INC,280," 126,378",Bachelor's,77
,,,,Doctorate,13
,,,,Master's,189
,,,,Professional,D
8689,YAHOO,279," 122,805",Missing Education,D
,,,,Bachelor's,74
,,,,Doctorate,13
,,,,Master's,191
7033,SYNCHERON INC,278," 83,270",Associates,D
,,,,Bachelor's,175
,,,,Master's,102
2883,VIRTUSA CORP,275," 100,105",Bachelor's,176
,,,,Master's,98
,,,,Some College,D
9337,HCL GLOBAL SYSTEMS INC,274," 86,953",Missing Education,D
,,,,Bachelor's,91
,,,,Master's,182
6161,MCKINSEY & CO INC US,270," 136,082",Bachelor's,57
,,,,Doctorate,22
,,,,Master's,185
,,,,Professional,D
7549,NVIDIA CORPORATION,261," 133,556",Bachelor's,67
,,,,Doctorate,23
,,,,Master's,171
5772,DELOITTE TAX LLP,257," 73,601",Bachelor's,187
,,,,Doctorate,D
,,,,Master's,64
,,,,Professional,D
2170,CAPITAL ONE SERVICE II LLC,255," 101,240",Bachelor's,146
,,,,Doctorate,D
,,,,Master's,104
4017,KPIT IMFOSYSTEMS INC,253," 96,796",Bachelor's,185
,,,,Master's,67
,,,,Some College,D
4585,CLEVELAND CLINIC FDN,252," 79,497",Bachelor's,D
,,,,Doctorate,37
,,,,Master's,27
,,,,Professional,186
0018,INNOVANT LLC,246," 114,938",Bachelor's,133
,,,,Doctorate,D
,,,,Master's,111
7441,UBER TECHNOLOGIES,240," 132,835",Bachelor's,57
,,,,Doctorate,12
,,,,Master's,168
,,,,Professional,D
,,,,Some College,D
5110,JOHN HOPKINS UNIV,234," 68,519",Bachelor's,D
,,,,Doctorate,156
,,,,Master's,32
,,,,Professional,41
7105,COMPUNNEL SOFTWARE GROUP INC,234," 68,866",Bachelor's,120
,,,,Master's,114
6470,CITIBANK N A,227," 110,520",Bachelor's,76
,,,,Doctorate,12
,,,,Master's,139
6309,THE UNIV OF MICHIGAN,227," 61,471",Associates,D
,,,,Bachelor's,D
,,,,Doctorate,159
,,,,Master's,38
,,,,Professional,24
6805,DELI MARKETING L P,227," 92,029",Bachelor's,140
,,,,Master's,87
0482,BROADCOM CORPORATION,222," 118,408",Bachelor's,67
,,,,Doctorate,12
,,,,Master's,143
7496,CYIENT INC,220," 98,316",Associates,D
,,,,Bachelor's,159
,,,,Master's,54
,,,,No Diploma,D
,,,,Some College,D
1864,SYMANTEC CORP,218," 115,731",Missing Education,D
,,,,Bachelor's,87
,,,,Doctorate,D
,,,,Master's,121
4661,KFORCE INC,209," 94,864",Bachelor's,119
,,,,Master's,90
4941,FUJITSU AMERICA INC,208," 83,951",Associates,D
,,,,Bachelor's,125
,,,,Master's,81
,,,,Some College,D
3126,COMP SCIENCES CORP,208," 76,363",Bachelor's,127
,,,,Master's,80
,,,,Some College,D
6490,HITACHI CONSULTING CORP,204," 89,682",Bachelor's,141
,,,,Master's,63
0235,THE MATH WORKS INC,202," 87,728",Bachelor's,21
,,,,Doctorate,31
,,,,Master's,150
4085,BANK OF AMERICA N A,201," 119,651",Bachelor's,83
,,,,Doctorate,D
,,,,Master's,116
3911,HEADSTRONG SERVICES LLC,201," 86,993",Bachelor's,123
,,,,Master's,78
5219,VERIZON DATA SERVICES LLC,200," 101,265",Bachelor's,104
,,,,Doctorate,D
,,,,Master's,93
1702,MAYO CLINIC,199," 101,179",Bachelor's,11
,,,,Doctorate,61
