,,,,,
"Source:  USCIS, as of June 30, 2017. Notes: All data are based on approved petitions during the fiscal year.  Per USCIS best practices, units of less than 10 are aggregated so as to limit the possibility of the de-anonymization of data.  “D” represents data withheld to protect privacy.  Total number of beneficiaries includes initial, renewal, cap-subject, and cap-exempt petitions. While some company names may appear multiple times, USCIS does not combine companies even where the names are the same because in all cases the employer tax identification numbers are different. Missing Education means the education field is not captured by the USCIS electronic data storage system.  Average salary includes both full-time and part-time employment.  In lieu of the required degree a beneficiary may qualify based on a combination of education, training, and/or progressively responsible experience in the specialty that is equivalent to the completion of such a degree, and recognition of expertise in the specialty through progressively responsible positions directly related to the specialty.",,,,,
Employer Information,,Petition Information by Employer,,,
Employer Tax Number (Last 4 Digits),Employer Name,Total Number of Approved Petitions,Average Salary ($5),Beneficiary Degree/Diploma,
,,,,D,D
4604,INVESTCORP INTERNATIONAL INC,D," 150,000",D,D
7617,BLUE SKY STUDIOS INC,D," 107,396",D,D
,,,,D,D
1958,SONY MUSIC ENTERTAINMENT,D," 112,500",D,D
3475,AKRF INC,D," 69,870",D,D
1788,ZARA USA INC,D," 65,022",D,D
,,,,D,D
7031,SINOPEC USA INC,D," 44,498",D,D
5607,NEXT MANAGEMENT LLC,D," 52,000",D,D
1575,G C CONSULTANTS INC,D," 65,917",D,D
,,,,D,D
9661,MEN/WOMEN NY MODEL MANAGEMEN,D," 90,667",D,D
,,,,D,D
,,,,D,D
0234,THE AARON DIAMOND AIDS RESEA,D," 46,949",D,D
,,,,D,D
,,,,D,D
8484,PACIFIC CULTURE ENTERPRISES,D," 57,199",D,D
,,,,D,D
8978,HASKELL JEWELS LLC,D," 57,100",D,D
7071,SYSCOM USA INC,D," 63,349",D,D
,,,,D,D
1762,SHINHAN BANK AMERICA,D," 31,777",D,D
9804,AMNET NEW YORK INC,D," 31,788",D,D
1948,BANK OF COMM CO LTD NY BRANC,D," 56,525",D,D
4244,SUMMIT MORTGAGE BANKERS INC,D," 57,172",D,D
3590,ING FINANCIAL SERVICES LLC,D," 113,333",D,D
,,,,D,D
9181,IMAGINE SOFTWARE INC,D," 75,833",D,D
,,,,D,D
0872,HOBSONS INC,D," 97,646",D,D
,,,,D,D
4839,LOMBARD RISK SYSTEMS INC,D," 126,667",D,D
9922,NUNHEMS USA INC,D," 61,802",D,D
2705,ADDISON DESIGN COMPANY INC,D," 67,667",D,D
0050,ZIFF BROTHERS INVESTMENTS LL,D," 203,333",D,D
2063,NADINE JOHNSON & ASSOC INC,D," 54,833",D,D
3358,COTY INC,D," 97,333",D,D
,,,,D,D
7745,2 X 4 INC,D," 56,917",D,D
,,,,D,D
5888,KIPP INC,D," 51,168",D,D
,,,,D,D
4184,INTERMEDIA GROUP INC,D," 119,280",D,D
,,,,D,D
0680,CINTRA SOFTWARE & SERVICES,D," 123,333",D,D
,,,,D,D
,,,,D,D
9126,AISLING IRISH COMMUNITY CENT,D," 60,265",D,D
4115,COGNIZANT TECH SOLNS US CORP,D," 83,983",D,D
,,,,D,D
3601,DATAART SOLUTIONS INC,D," 118,906",D,D
,,,,D,D
,,,,D,D
1245,AGRICULTURAL BANK OF CHINA,D," 76,667",D,D
,,,,D,D
7095,THE NEW YORK & PRESBYTERIAN,D," 90,379",D,D
,,,,D,D
8199,COLUMBIA I S CONSULTING GROU,D," 92,667",D,D
8207,GFI SECURITIES LLC,D," 280,000",D,D
,,,,D,D
2042,TREPP LLC,D," 87,667",D,D
,,,,D,D
9011,SYSTEC INTERNATIONAL INC,D," 48,790",D,D
,,,,D,D
3099,KETCHUM INC,D," 109,312",D,D
,,,,D,D
6876,ORBIMED ADVISORS LLC,D," 133,333",D,D
,,,,D,D
8897,HYPERMEDIA SOLNS LLC DBA FUT,D," 82,267",D,D
,,,,D,D
0241,BARSAN INTERNATIONAL INC,D," 37,121",D,D
0489,CETECOM INC,D," 96,040",D,D
,,,,D,D
2562,BUNGE MANAGEMENT SERVICES IN,D," 120,000",D,D
4296,EQUINOX HOLDING INC,D," 71,040",D,D
,,,,D,D
,,,,D,D
5119,FRESHFIELDS BRUCKHAUS DERING,D," 228,333",D,D
1566,X-TREME CARE LLC,D," 32,043",D,D
,,,,D,D
2557,PHARMLINE INC DBA STAUBER NY,D," 68,333",D,D
5763,OVERSEAS MEDIA INC,D," 213,333",D,D
,,,,D,D
,,,,D,D
9430,ASYMPTOTE ARCHITECTURE PLLC,D," 59,333",D,D
4865,ADMARKETPLACE INC,D," 83,033",D,D
,,,,D,D
6482,CLINILABS,D," 64,187",D,D
,,,,D,D
9463,TETHYS TECHNOLOGY INC,D," 83,333",D,D
3120,SID COMPUTER GROUP INC,D," 91,104",D,D
,,,,D,D
8330,BURO HAPPOLD INC,D," 78,667",D,D
,,,,D,D
2164,AEROXCHANGE LTD,D," 99,530",D,D
,,,,D,D
6285,LANDMARK TECHNOLOGIES INC,D," 65,667",D,D
,,,,D,D
8753,ENTECH ENGINEERING PC,D," 67,933",D,D
8913,MLB ADVANCED MEDIA L P,D," 114,557",D,D
6458,L & L TRAVEL ENTERPRISES INC,D," 39,173",D,D
6636,MARKIT ON DEMAND INC,D," 73,333",D,D
5975,KOCH GROUP & COMPANY LLP,D," 44,368",D,D
8194,SHOP ARCHITECTS PC,D," 60,333",D,D
,,,,D,D
9700,NEW HOPE FERTILITY CENTER,D," 78,667",D,D
1809,ONE MODEL MANAGEMENT LLC,D," 104,000",D,D
5991,CORMAC CORPORATION,D," 104,417",D,D
,,,,D,D
9818,THOMAS PUBLISHING COMPANY LL,D," 63,533",D,D
,,,,D,D
4630,OOCL USA INC,D," 71,647",D,D
3295,DAVIS POLK & WARDWELL LLP,D," 261,667",D,D
,,,,D,D
9150,WEIDLINGER ASSOCIATES INC,D," 71,693",D,D
,,,,D,D
7279,DEBEVOISE & PLIMPTON LLP,D," 198,333",D,D
2985,THE COOPER UN FOR THE ADVANC,D," 23,413",D,D
3032,JOHN WILEY & SONS INC,D," 119,281",D,D
,,,,D,D
,,,,D,D
5391,HUGHES HUBBARD & REED LLP,D," 165,000",D,D
3797,AMERICAN HEART ASSN IN WESTE,D," 113,333",D,D
,,,,D,D
6275,TRANSATLANTIC REINSURANCE CO,D," 154,333",D,D
,,,,D,D
9239,SCHENKER INC,D," 73,166",D,D
,,,,D,D
5448,STIEFEL LABORATORIES INC,D," 114,923",D,D
,,,,D,D
8506,BINOPTICS CORPORATION,D," 77,333",D,D
,,,,D,D
1580,ADDO CONSULTING INC,D," 65,667",D,D
,,,,D,D
3577,SAMARITAN MED CTR,D," 460,000",D,D
9039,A O FOX MEMORIAL HOSP,D," 112,422",D,D
,,,,D,D
5841,LE MOYNE COLLEGE,D," 50,011",D,D
,,,,D,D
0130,THE GLEASON WORKS,D," 70,948",D,D
,,,,D,D
3094,NIAGARA FALLS MEMORIAL MED C,D," 198,087",D,D
7505,CONMED CORPORATION,D," 62,861",D,D
,,,,D,D
8280,HYOSUNG USA INC,D," 48,627",D,D
2385,DANISCO US INC,D," 134,283",D,D
,,,,D,D
0964,CONSILIUM 1,D," 80,500",D,D
,,,,D,D
8501,CGF ANESTHESIA ASSO P C,D," 60,000",D,D
7077,HAND HELD PRODS INC DBA HONE,D," 82,877",D,D
0188,LOGISTICS PLUS INC,D," 51,884",D,D
,,,,D,D
4847,GOLFSMITH INTERNATIONAL INC,D," 96,594",D,D
,,,,D,D
8290,SKANSOFT INC,D," 113,500",D,D
,,,,D,D
6070,IH ENGINEERS P C,D," 71,490",D,D
5625,APOGEE MED GROUP PC,D," 230,000",D,D
8715,THE ROCK CREEK GROUP LLC,D," 66,667",D,D
,,,,D,D
3752,MAP IT SOLUTIONS INC,D," 43,813",D,D
,,,,D,D
4594,SAGENT ADVISORS LLC,D," 171,667",D,D
,,,,D,D
6859,PORTOLA PHARMACEUTICALS INC,D," 124,500",D,D
6056,CUMBERLAND CONSULTING GROUP,D," 118,833",D,D
6190,SARIAN SOLUTIONS INC,D," 77,000",D,D
,,,,D,D
2793,NLEAGUE SERVICES INC,D," 56,000",D,D
6128,JAMES CORNER FIELD OPERATION,D," 55,333",D,D
1473,SL TENNESSEE LLC,D," 42,321",D,D
2652,AAXY LLC DBA AUSTIN FIRST MO,D," 45,781",D,D
3558,MOTHER INDUSTRIES LLC,D," 121,667",D,D
,,,,D,D
9221,KELLOGG IT SVCS CO,D," 75,667",D,D
2957,ANIMATED PRODUCTIONS INC,D," 106,305",D,D
2887,INVEXER TECHNOLOGY INC,D," 68,977",D,D
,,,,D,D
5811,SQUARESPACE INC,D," 141,667",D,D
,,,,D,D
2360,TIDEWORKS TECH INC,D," 108,333",D,D
,,,,D,D
3051,INTERUSH INC,D," 149,671",D,D
,,,,D,D
1193,R & L CARRIERS SHARED SERVIC,D," 66,206",D,D
,,,,D,D
6549,DIAMOND INNOVATIONS INC D/B/,D," 91,501",D,D
,,,,D,D
8656,ELEMENT SOLUTIONS LLC,D," 107,933",D,D
,,,,D,D
9452,RIVERMEADOW SOFTWARE INC,D," 115,000",D,D
,,,,D,D
6621,KIRAN JEWELS INC,D," 45,333",D,D
0323,AARC ENVIRONMENTAL INC,D," 96,925",D,D
6895,KWC PARTNERS LLP,D," 60,866",D,D
9497,NEXUS IS INC,D," 131,667",D,D
,,,,D,D
3096,SAPUTO DAIRY FOODS USA LLC,D," 87,923",D,D
,,,,D,D
5150,ARQUITECTONICA GEO CORPORATI,D," 48,635",D,D
,,,,D,D
1541,SCA INC,D," 43,859",D,D
,,,,D,D
7145,GRAVITANT INC,D," 116,267",D,D
0849,FLORIDA INST FOR HUMAN & MAC,D," 69,833",D,D
,,,,D,D
7435,PURITY COSMETICS,D," 46,355",D,D
8429,VIEWRAY INC,D," 113,000",D,D
,,,,D,D
9663,HEXAGROUP LTD,D," 70,061",D,D
,,,,D,D
4377,HIGHWAY TOLL ADMINISTRATION,D," 81,760",D,D
,,,,D,D
9488,COOK PHARMICA LLC,D," 59,333",D,D
8604,AUTOTASK CORPORATION,D," 73,773",D,D
,,,,D,D
3461,FIRST SOLAR ELECTRIC LLC,D," 98,333",D,D
1546,HANDEL ARCHITECTS LLP,D," 63,000",D,D
6818,AVALON CONSULTING LLC,D," 71,400",D,D
,,,,D,D
9390,VEROS REAL ESTATE SOLUTIONS,D," 98,667",D,D
,,,,D,D
4047,IMPRESSIVE SYSTEMS INC,D," 63,333",D,D
2437,NEWMARKET SERVICES CORPORATI,D," 131,815",D,D
,,,,D,D
6640,DEEPFLEX INC,D," 110,000",D,D
,,,,D,D
8200,MNK INFOTECH INC,D," 68,335",D,D
,,,,D,D
2316,OBJECTSTREAM INC,D," 96,500",D,D
,,,,D,D
6973,VOLGA SYSTEMS SERVICES INC,D," 73,622",D,D
,,,,D,D
9619,EGB SYSTEMS & SOLUTIONS INC,D," 64,582",D,D
6553,DENTOPIA INC,D," 60,140",D,D
,,,,D,D
7008,RAM VELAMATI MD SC,D," 76,800",D,D
6081,INRIX INC,D," 108,000",D,D
,,,,D,D
7705,ENTERPRISE CONSULTING SERVIC,D," 61,617",D,D
,,,,D,D
1767,XPEDITE TECHNOLOGIES INC,D," 71,054",D,D
7466,WOLVERINE TRADING TECHNOLOGI,D," 115,000",D,D
,,,,D,D
0712,INNOPHOS INC,D," 135,518",D,D
9888,DAKOTA CONSULTING INC,D," 85,788",D,D
,,,,D,D
0696,DIGITAL MAP PRODUCTS INC,D," 79,380",D,D
,,,,D,D
3055,YINGHUA ACADEMY,D," 43,133",D,D
0090,WI TRONIX LLC,D," 96,928",D,D
,,,,D,D
9912,EQUINOXYS INC,D," 116,000",D,D
,,,,D,D
7751,SARAH CANNON RESEARCH INST S,D," 70,872",D,D
,,,,D,D
6043,4INFO INC,D," 151,833",D,D
5173,VIRGIN AMERICA INC,D," 92,114",D,D
2288,SMART TECHNOLOGIES SEATTLE I,D," 105,000",D,D
,,,,D,D
1341,SOLUGENIX CORP,D," 68,123",D,D
1300,PHARBEST PHARMACEUTICALS INC,D," 38,922",D,D
5032,LOGYBYTES INC,D," 65,473",D,D
4923,INPATIENT SERVICES OF TENNES,D," 199,333",D,D
0517,WININFOSYS INC,D," 64,140",D,D
4503,MNC SVCS INC D B A WINIGENT,D," 165,013",D,D
5643,ASHA ENTERPRISES LLC DBA MOG,D," 48,912",D,D
1898,HEALTHSPRING INC,D," 73,500",D,D
2354,LDR SPINE USA INC,D," 105,000",D,D
,,,,D,D
4700,STARCOM MEDIAVEST GROUP INC,D," 73,917",D,D
5857,BOCONCEPT CHELSEA INC,D," 39,955",D,D
,,,,D,D
0416,HIGHLAND CAPITAL GROUP LLC,D," 131,667",D,D
,,,,D,D
1501,XPRUDENT CORP,D," 80,167",D,D
1870,GLOBAL INTELLECTUALS LLC,D," 63,343",D,D
,,,,D,D
6124,COGNIZANT TECH SOLNS US CORP,D," 87,233",D,D
8146,APTONET INC,D," 93,667",D,D
,,,,D,D
1684,INDIANA HOSPITALISTS PC,D," 200,000",D,D
7273,VOX MEDIA INC,D," 75,567",D,D
,,,,D,D
3654,NEXTGEN REALTY INC,D," 62,442",D,D
0784,GBS CONSULTANTS INC,D," 23,494",D,D
,,,,D,D
7489,PIXTRONIX INC,D," 115,447",D,D
,,,,D,D
2351,PERINT SARIMBA INC,D," 88,441",D,D
5164,SAPHIRE SOLUTIOBNS INC,D," 72,412",D,D
,,,,D,D
8709,ACISTEK CORPORATION,D," 63,891",D,D
8194,RITHAM INC,D," 85,667",D,D
,,,,D,D
3459,ADVISOR SOFTWARE INC,D," 104,000",D,D
2120,TECHSOURCE INC,D," 97,767",D,D
,,,,D,D
5850,VITA DATA TECHNOLOGY LLC,D," 64,167",D,D
,,,,D,D
4445,SAXON INFOTECH INC,D," 75,958",D,D
,,,,D,D
6638,CLARIS LIFESCIENCES INC,D," 56,940",D,D
,,,,D,D
7497,END TO END ANALYTICS LLC,D," 85,000",D,D
,,,,D,D
6911,HIGHBROW BUSINESS SOLUTIONS,D," 60,000",D,D
,,,,D,D
2545,DROBO INC,D," 140,500",D,D
,,,,D,D
0651,INTELLECT IT LLC,D," 96,893",D,D
,,,,D,D
2882,INFOPRO SYSTEMS INC,D," 66,589",D,D
,,,,D,D
9735,SEARCH TECHNOLOGIES CORP,D," 81,276",D,D
9184,ADVANCED REOURCES GROUP INC,D," 97,760",D,D
,,,,D,D
5529,PINGER INC,D," 110,800",D,D
6844,VERACITY CONSULTING LLC,D," 80,000",D,D
,,,,D,D
9131,SERVE VIRTUAL ENTERPRISES IN,D," 105,800",D,D
,,,,D,D
2099,VCARVE LLC,D," 58,080",D,D
,,,,D,D
4966,SHRIA MANAGEMENT LLC,D," 37,751",D,D
,,,,D,D
1822,ADCONION DIRECT INC,D," 87,033",D,D
1681,BIOCLINICA INC,D," 83,175",D,D
,,,,D,D
3878,AMBER INDIA CORP,D," 58,333",D,D
,,,,D,D
1726,2K GAMES INC,D," 115,833",D,D
,,,,D,D
6513,PHARMERIT NORTH AMERICA LLC,D," 82,683",D,D
7789,KAUFMAN ROSSIN FUND SERVICES,D," 72,667",D,D
,,,,D,D
7390,NSIGHT INC,D," 61,328",D,D
6069,VSYS INC,D," 62,667",D,D
4399,MERITEL GROUP LLC,D," 66,343",D,D
,,,,D,D
8371,ARYASAI INC,D," 69,160",D,D
,,,,D,D
3101,AMERICAN BUSINESS INSTITIUTE,D," 63,022",D,D
,,,,D,D
6121,LIKE MINDS CONSULTING INC,D," 120,000",D,D
,,,,D,D
0370,INRHYTHM INC,D," 79,667",D,D
,,,,D,D
8867,ALVERNO PROVENA HOSP LABORAT,D," 52,564",D,D
,,,,D,D
1721,GEOVERA HOLDINGS INC,D," 124,096",D,D
0811,CHRISTOPHER HUANG CPAS INC,D," 50,222",D,D
7920,SEVERSTAL COLUMBUS LLC,D," 72,202",D,D
1569,SARKIT INC,D," 82,294",D,D
,,,,D,D
5705,APOGEE MEDICAL GROUP TEXAS P,D," 230,000",D,D
8734,COMMUNITY ASSISTANCE RESOURC,D," 66,021",D,D
,,,,D,D
6593,HEADSPRING LLC,D," 94,000",D,D
,,,,D,D
0200,CQUENT SYSTEMS INC,D," 78,000",D,D
9709,JASSTEK INC,D," 83,333",D,D
,,,,D,D
2833,ADARA MEDIA INC,D," 134,333",D,D
,,,,D,D
0944,BIZINTEX INC,D," 60,000",D,D
0979,DANFOSS TURBOCOR COMPRESSORS,D," 63,385",D,D
,,,,D,D
6898,SEUNG KWANG LLC,D," 58,910",D,D
,,,,D,D
,,,,D,D
8206,CLARABRIDGE INC,D," 86,062",D,D
8424,PRO SAAMYA INC,D," 56,833",D,D
8522,HARBAR LLC,D," 66,600",D,D
,,,,D,D
5985,TRUE PARTNERS CONSULTING LLC,D," 64,262",D,D
,,,,D,D
6994,HEALTH INTEGRITY LLC,D," 61,669",D,D
,,,,D,D
1713,PELICAN EDUCATIONAL FOUNDATI,D," 42,553",D,D
,,,,D,D
5370,NVT LLC DBA SUNEDISON,D," 109,546",D,D
,,,,D,D
6907,MAXIS GROUP INC,D," 105,533",D,D
,,,,D,D
9157,INSTINET HOLDINGS INCORPORAT,D," 145,000",D,D
,,,,D,D
2053,TECHNISAR SOLUTIONS INC,D," 82,908",D,D
,,,,D,D
0011,NORTHSTAR SOMERSET MANAGEMEN,D," 47,156",D,D
,,,,D,D
1937,FIRST SOLAR DEVELOPEMENT LLC,D," 122,500",D,D
6808,WABASH EM I MED SVCS A/K/A E,D," 118,667",D,D
3825,FLEET FINANCIAL GROUP INC,D," 52,771",D,D
,,,,D,D
1397,PROBUILD CO LLC,D," 87,333",D,D
0273,MM INFOTECH INC,D," 92,667",D,D
,,,,D,D
6347,COLEMAN RESEARCH GROUP INC,D," 63,200",D,D
,,,,D,D
2141,L & P GROUP INC,D," 39,727",D,D
8045,DROGA5 LLC,D," 115,000",D,D
,,,,D,D
0628,VEPICA USA INC,D," 90,553",D,D
,,,,D,D
5458,WINSOM IT INC,D," 77,833",D,D
,,,,D,D
5974,SOASTA INC,D," 111,667",D,D
,,,,D,D
6902,MICROTURN SYSTEMS INC,D," 71,667",D,D
,,,,D,D
3202,GNR SYSTEMS,D," 57,833",D,D
,,,,D,D
8013,HERMES NETWORKS INC,D," 62,583",D,D
,,,,D,D
0671,SCRIBD INC,D," 125,000",D,D
,,,,D,D
4265,THINK BIG SOLUTIONS INC,D," 74,205",D,D
,,,,D,D
5295,ADMARVEL INC,D," 104,000",D,D
,,,,D,D
5847,ONGUARD FENCE SYSTEMS LTD,D," 44,667",D,D
3763,ALPHA SYNOPSIS INC,D," 58,333",D,D
1390,NATURAL RESOURCE GOVERNANCE,D," 77,490",D,D
8558,MANAGE MY DREAM LLC,D," 70,667",D,D
,,,,D,D
2632,INABIA SOFTWARE & CONSULTING,D," 83,533",D,D
,,,,D,D
5704,CILLIUM CORPORATION,D," 60,250",D,D
,,,,D,D
0257,MIREHAB P C,D," 66,833",D,D
,,,,D,D
1979,WIMBERLY ALLISON TONG & GOO,D," 55,069",D,D
,,,,D,D
0863,VERISM SYSTEMS INC,D," 89,169",D,D
,,,,D,D
1626,HALO PHARMACEUTICAL INC,D," 132,103",D,D
,,,,D,D
9691,FINO CONSULTING LLC,D," 87,815",D,D
4115,PRICE FOR PROFIT LLC DBA INS,D," 69,475",D,D
5075,CPL PREMIER THERAPY LLC,D," 49,060",D,D
,,,,D,D
9247,GEONAMIC SYSTEMS INC,D," 40,000",D,D
7593,ACS INFRASTRUCTURE DEVELOPME,D," 144,377",D,D
,,,,D,D
8987,POPSUGAR INC,D," 100,667",D,D
,,,,D,D
3880,Y AND Q HOME PLUS LLC,D," 34,722",D,D
5560,ENOAH ISOLUTIONS INC,D," 73,567",D,D
,,,,D,D
4798,ADDISON GROUP,D," 111,600",D,D
,,,,D,D
4659,IMOBILE LLC,D," 49,719",D,D
,,,,D,D
9952,HOME THERAPY SERVICES INC,D," 48,675",D,D
,,,,D,D
3916,MIR CONSULTING INC,D," 64,546",D,D
,,,,D,D
5737,ALLEGIANT TRAVEL CO DBA ALLE,D," 69,516",D,D
,,,,D,D
8319,SOFTWEB SOLUTIONS INC,D," 64,400",D,D
6588,SYSTEMS SOFTWARE SOLUTIONS I,D," 90,000",D,D
,,,,D,D
8802,VEDAINFO INC,D," 68,439",D,D
,,,,D,D
0761,AMKO SOFTWARE SOLUTIONS INC,D," 82,000",D,D
,,,,D,D
7900,CITAGUS SOFTWARE USA INCORPO,D," 86,624",D,D
,,,,D,D
3708,BHANINFO INC,D," 67,000",D,D
,,,,D,D
8729,REGIONAL MEDICAL PRACTICE PC,D," 202,333",D,D
9765,TECON SOLUTIONS INC,D," 81,667",D,D
2685,C M L MEDIA CORP DBA MOPRO,D," 82,667",D,D
7018,AVERO LLC,D," 88,890",D,D
,,,,D,D
0396,ABSOMAX INC,D," 86,000",D,D
,,,,D,D
1618,SEAFORD INTERNAL MEDICINE LL,D," 161,667",D,D
0267,AVAAZ FOUNDATION,D," 88,000",D,D
,,,,D,D
2464,TENNIS ADVISORS LLC,D," 74,553",D,D
,,,,D,D
4389,CHERRYROAD TECHNOLOGIES INC,D," 118,090",D,D
,,,,D,D
7192,MILLENNIAL MEDIA INC,D," 95,000",D,D
0494,QUALINFOTECH SOLUTIONS INC,D," 56,667",D,D
,,,,D,D
9627,NEPASOFT SOLUTIONS LLC,D," 60,000",D,D
,,,,D,D
6461,AVENIR HEALTH FOR DEVELOPMEN,D," 89,338",D,D
0358,LOGFIRE INC,D," 76,947",D,D
4399,CRUNCHYROLL INC,D," 153,333",D,D
,,,,D,D
2437,B2B INFOSYS INC,D," 70,333",D,D
2662,SOFGEN AMERICAS INC,D," 78,027",D,D
9802,INTL SECURITIES EXCHANGE INC,D," 106,467",D,D
,,,,D,D
6903,COUNTERPOINT CONSULTING INC,D," 100,000",D,D
,,,,D,D
8259,BOWHEAD SYSTEMS MANAGEMENT I,D," 90,263",D,D
2092,JOSS DATA INC,D," 64,082",D,D
9528,ZURI FURNITURE LLC,D," 31,092",D,D
5162,SV TECH INC,D," 63,667",D,D
1629,OUTBRAIN INC,D," 82,317",D,D
6633,TEKPLANT INC,D," 96,867",D,D
,,,,D,D
0179,SYSCONS CORPORATION,D," 81,291",D,D
,,,,D,D
3400,MAYPRO INDUSTRIES LLC,D," 34,609",D,D
6209,THUMBTACK TECHNOLOGY INC,D," 110,000",D,D
,,,,D,D
7203,BAPTIST HEALTH MEDICAL GROUP,D," 355,000",D,D
1099,INPROCESS INC,D," 44,053",D,D
4027,PRODIGY TECHNOLOGIES INC,D," 69,000",D,D
8928,JUMP OPERATIONS LLC,D," 121,667",D,D
,,,,D,D
,,,,D,D
3756,PI INNOVO LLC,D," 79,235",D,D
3288,VITOL INC,D," 171,000",D,D
,,,,D,D
2651,Y-PRIME INC,D," 88,587",D,D
,,,,D,D
5418,MY TECH US LLC,D," 75,100",D,D
,,,,D,D
2024,COLLECTIVE MEDIA INC,D," 137,333",D,D
,,,,D,D
4228,BECHTEL COMMUNICATIONS INC,D," 105,380",D,D
0084,I SCOPE TECH INC,D," 79,333",D,D
,,,,D,D
0378,CYMANSYS SOLUTIONS LLC,D," 73,333",D,D
6268,ECHOUSER INC,D," 85,639",D,D
4828,MERIDIAN KNOWLEDGE SOLNS LLC,D," 107,500",D,D
,,,,D,D
7688,NOSTRUM LABORATORIES INC,D," 45,032",D,D
2115,HBK NEW YORK LLC,D," 158,333",D,D
,,,,D,D
9230,EPIC ENGINEERING & CONS GROU,D," 70,935",D,D
,,,,D,D
7382,KIDNEY DISEASE & HYPERTENSIO,D," 236,667",D,D
5508,EAST WEST HAULING INC,D," 55,080",D,D
,,,,D,D
8639,TENSORCOM INC,D," 86,310",D,D
2369,BOSTON BIOMEDICAL INC,D," 68,333",D,D
,,,,D,D
6956,AMAZON CORPORATE LLC,D," 92,667",D,D
,,,,D,D
7812,WELSPUN PIPES INC,D," 70,474",D,D
3427,CREAMOS SOLUTIONS INC,D," 68,000",D,D
,,,,D,D
5376,STRIKE TECHNOLOGIES LLC,D," 226,667",D,D
3656,TELERIK INC,D," 82,839",D,D
,,,,D,D
4158,TOP ONE MORTGAGE,D," 49,539",D,D
5307,BIO MED SVCS INC,D," 78,444",D,D
6241,COURSE HERO INC,D," 136,667",D,D
5825,EXTRAHOP NETWORKS INC,D," 130,000",D,D
,,,,D,D
,,,,D,D
0144,WEALTHFRONT INC,D," 155,000",D,D
,,,,D,D
8495,BLUENOG CORPORATION,D," 92,000",D,D
3132,INMATA SOLUTIONS INC,D," 81,600",D,D
,,,,D,D
0041,ACCURAY INC,D," 99,288",D,D
,,,,D,D
0435,CUBES TECHNOLOGIES INC,D," 82,646",D,D
,,,,D,D
9220,AB TECHNOLOGIES INC,D," 84,667",D,D
,,,,D,D
3056,AGADIA SYSTEMS INC,D," 77,667",D,D
,,,,D,D
1101,TRUE WORLD FOODS NEW YORK LL,D," 53,333",D,D
,,,,D,D
2903,SOCRATA INC,D," 123,333",D,D
,,,,D,D
1938,HIMAX IMAGING CORP,D," 102,775",D,D
,,,,D,D
9471,AMMUNITION LLC,D," 87,175",D,D
,,,,D,D
3035,FACTUAL INC,D," 98,047",D,D
,,,,D,D
5248,STRAVA INC,D," 93,333",D,D
9445,SMITH & BURGESS LLC,D," 90,432",D,D
,,,,D,D
9718,RECYCLEREWARDS INC,D," 125,000",D,D
,,,,D,D
0926,NEXTIVA INC,D," 87,667",D,D
,,,,D,D
3649,MIK GROUP INC DBA MIK FUND S,D," 120,000",D,D
5152,ARCADIA SOLUTIONS LLC,D," 74,137",D,D
5679,Y MEDIA LABS INC,D," 148,333",D,D
,,,,D,D
5497,ACCOLITE INC,D," 73,367",D,D
3270,VIHITA SOLUTIONS INC,D," 83,520",D,D
,,,,D,D
7085,CYBERNET SOLUTIONS INC,D," 51,333",D,D
,,,,D,D
0370,MOELIS & COMPANY GROUP LP,D," 116,667",D,D
5335,THE HIBBERT COMPANY,D," 90,029",D,D
,,,,D,D
0868,BENJAMIN R HARVEY COMPANY IN,D," 92,440",D,D
6230,DELOITTE CONSULTING LLP,D," 69,667",D,D
,,,,D,D
4240,JOHNSON & JOHNSON,D," 150,186",D,D
,,,,D,D
2040,MACK TRUCKS INC,D," 78,816",D,D
,,,,D,D
5834,VOLKSWAGEN GRP OF AMERICA IN,D," 130,066",D,D
,,,,D,D
0433,M MODAL SERVICES LTD,D," 80,062",D,D
1861,SCHAEFER SYSTEMS INTERNATION,D," 75,300",D,D
8098,DASSAULT FALCON JET CORP,D," 126,412",D,D
,,,,D,D
2296,MATHEMATICA POLICY RESEARCH,D," 110,000",D,D
8342,PAR PHARMACEUTICAL COMPANIES,D," 91,050",D,D
,,,,D,D
,,,,D,D
7449,PA CONSULTING GROUP INC,D," 124,333",D,D
,,,,D,D
4464,ALK TECHNOLOGIES INC,D," 61,902",D,D
,,,,D,D
0765,PARAGON SOLUTIONS INC,D," 90,540",D,D
,,,,D,D
8965,CITRIN COOPERMAN & CO LLP,D," 71,833",D,D
,,,,D,D
6858,RALPH LAUREN RETAIL INC,D," 108,700",D,D
3413,GUARDIAN DRUG COMPANY,D," 68,800",D,D
2625,ZENTECH TECH SVCS INC DBA ZE,D," 104,856",D,D
,,,,D,D
0560,HONEYWELL INTERNATIONAL INC,D," 83,083",D,D
,,,,D,D
7354,BETH ISRAEL DEACONESS HOSP P,D," 75,220",D,D
6503,EMCORE CORP,D," 77,759",D,D
,,,,D,D
4819,ROWAN UNIV,D," 58,949",D,D
6178,CHEMADVISOR INC,D," 57,943",D,D
,,,,D,D
7118,KEY SAFETY SYSTEMS INC,D," 77,014",D,D
,,,,D,D
3521,RICOH AMERICAS CORP,D," 109,019",D,D
,,,,D,D
3476,S S WHITE TECHNOLOGIES INC,D," 73,333",D,D
,,,,D,D
7791,MCSS INC,D," 107,267",D,D
