"Approved H-2B Cap-Subject Beneficiaries by Employer Fiscal Year 2017


",,,,
"Source: USCIS, data as of October 31, 2017.  Per USCIS best practices, units of less than 10 beneficiaries are masked so as to limit the possibility of the de-anonymization of data. ""D"" represents data withheld to protect privacy. The letter H replaces the value in the total column where one could deduce the value of D. A dash represents zero. Employers without tax identification numbers in our system were excluded. While some company names may appear multiple times, USCIS enters data as listed on the petition and does not combine companies, even where the names are the same, because in all cases the employer tax identification numbers are different on the petition.",,,,
Employer Tax Number (Last 4 Digits),Employer Name,Number of Beneficiaries under the Regular Cap,Number of Beneficiaries under the Supplemental Cap,Total Number of Beneficiaries under the Cap
8161,SAN FELIPE STONE INC,45,-,45
3748,WINDY CITY AMUSEMENTS INC,45,-,45
311,SPEARS CONSTRUCTION LLC DBA PAVEPR,-,45,45
6622,CLEAN SCAPES - SAN ANTONIO LLC,45,-,45
8648,KCS LANDSCAPE MANAGEMENT INC - VA,45,-,45
8459,ALPHA LANDSCAPE CONTRACTORS INC,45,-,45
2844,AKEHURST LANDSCAPE SERVICES,26,19,45
8740,SBS MGT CO INC DBA SCOTTIES BLDG S,45,-,45
3198,UNITED GOLF LLC,-,45,45
5327,RAIN KING INC,-,45,45
409,KENJURA TILE INC,45,-,45
3684,DIAMOND MGT SVCS OF ALABAMA LLC,45,-,45
9019,MILL BROTHERS LANDSCAPE & NURSERY,45,-,45
3265,WESTERN PROSCAPES INC,45,-,45
5403,GREEN VALLEY RANCH GLOF CLUB,45,-,45
6715,R H DUPPER LANDSCAPING INC,45,-,45
6192,DAVIS AMUSEMENT CASCADIA INC,45,-,45
5084,MILLNIPHEC LLC,45,-,45
8531,LARRYS OYSTERS LLC,45,-,45
3086,HUSKIE Z LANDSCAPING INC,44,-,44
1172,FANTASY AMUSEMENT COMPANY INC,44,-,44
5486,SHOWSHOE MOUNTAIN INC,44,-,44
5577,ORR CONTRACTING INC,44,-,44
3085,LANDWEST DESIGN GROUP INC,14,30,44
5261,HUNTERS RUN PROPERTY OWNERS ASSOC,44,-,44
7835,PUGHS CONCESSIONS INC,43,-,43
1356,HIWASSEE PACKAGING INC,43,-,43
9402,BECKWITH FORESTRY SERVICE INC,43,-,43
4036,BROOKWAY HORTICULTURAL SVCS INC,43,-,43
5083,ARNOLDS SEAFOOD SALES,43,-,43
9072,ANCHORAGE MOTOR INN OF OGUNQUIT IN,42,-,42
7938,SOUTH CHARLOTTE LANDSCAPE MGT LLC,42,-,42
5726,M & F LANDSCAPING INC,42,-,42
2010,BLADE RUNNERS INC,42,-,42
1338,PAMLICO PACKING CO INC,18,24,42
7077,CHICKEN CHARLIE S ENTERPRISES,-,41,41
370,S E W FRIEL LLC,-,41,41
3526,HAWKS CAY RESORT AND MARINA,41,-,41
5588,GREENWOOD COMMUNITIES & RESORT DBA,41,-,41
839,CORNEJO FORESTRY SERVICE INC,41,-,41
94,ALABAMA LAWN MASTERS INC,41,-,41
4799,CERES DESIGN & ARBORSCAPE DBA CERE,15,26,41
3615,BGB FARMS INC DBA BGB LABELING & P,-,40,40
4249,MARSHFIELD FOREST SERVICE INC,40,-,40
7879,BATES BROTHERS AMUSEMENT CO,-,40,40
2717,DURANT ENTERPRISES INC DBA DURANT,-,40,40
6619,SHAWN MCKINNEY FOOD SERVICES LLC,40,-,40
5071,DESTINATION HOTELS INC DBA VAIL CA,40,-,40
8499,GLOBAL TURNAROUND SERVICES LLC,-,40,40
7744,SILVEIRA INDUSTRIES LTD,40,-,40
3983,COMPLETE LANDSCULPTURE OF TEXAS LP,40,-,40
2072,ALL AMERICAN MAINTENANCE INC,40,-,40
6046,DL REFORESTATION INC,-,40,40
6403,REGENCY CSP VENTURES LP,40,-,40
6652,FULL CARE OF LOUISVILLE INC,40,-,40
9820,CUSTOM RETAINING WALLS INC,40,-,40
2156,LANDSCAPES & MORE INC,40,-,40
3416,SILVIS GROUP INC,40,-,40
4624,SOUTHEAST STRAW CO INC,40,-,40
1320,TOTAL TURF LANDSCAPE SERVICE INC,-,40,40
3999,LA COSTENITA DISTRIBUIDOR INC DBA,40,-,40
1779,PRACTICAL PROPERTY GROUP LLC,40,-,40
7835,ORTIZ PADILLA FAMILY LLC,40,-,40
5655,G SHRUBBER LANDSCAPE & IRRIGATION,-,40,40
9303,BIG ROCK AMUSEMENTS LLC,40,-,40
9012,JUST RIGHT LAWNS INC,40,-,40
3696,FIVE SEASONS LANDSCAPE MANAGEMENT,40,-,40
6733,BOGUEY CONCESSIONS LLC,40,-,40
4561,R B STOUT INC,40,-,40
245,ALAN HORTICULTURAL ENTERPRISES INC,40,-,40
3621,CHALET LANDSCAPE CO,40,-,40
4340,GREENLAWN LANDSCAPING MAINTENANCE,40,-,40
2810,KOHLER CO DBA DESTINATION KOHLER T,40,-,40
3138,GREEN HORIZONS INC,40,-,40
3149,ARMANDO ENTERPRISES INC,-,40,40
2109,76 MALL INN INC,-,40,40
8083,OUTDOOR CONCEPTS LLC,-,40,40
2096,MONTALVO FRAMING INC,40,-,40
5600,R & E FORESTRY INC,40,-,40
7845,HOMEFRONT S&D LLC DBA ANDYS SPRINK,40,-,40
3886,CRAWFISH PROCESSING LLC,40,-,40
7341,FOLLMER PROPERTY MAINTENANCE LLC,40,-,40
223,BIG O ENTERTAINMENT LLC,40,-,40
6486,CANYON STONE INC,40,-,40
8181,M & A WELDING COMPANY LLC,40,-,40
1238,GREENWAYS LANDSCAPE SVCS LLC,40,-,40
6441,KT ENTERPRISES INC,40,-,40
5466,CHESAPEAKE GROUNDS INC,40,-,40
1763,WILDFLOWER NURSERY INC,40,-,40
7756,LUCAS LAWN & LANDSCAPE INC,40,-,40
1153,LANDSCAPE MANAGEMENT COMPANY,40,-,40
7359,PRECISION 2000 INC,-,40,40
398,SUNRISE LAND CARE INC,-,40,40
7914,U S A LAWNS INC,40,-,40
3737,DIAMOND LANDSCAPES INC,40,-,40
9292,GUADAGNO & SONS AMUSEMENTS DBA G &,40,-,40
7198,PORTER ROOFING CONTRACTORS INC,-,40,40
2509,SUNSET PROPERTIES INC,40,-,40
1882,R AND A OYSTER COMPANY INC,40,-,40
131,LANDSCAPE MANAGEMENT SERVICES INC,40,-,40
5423,BOSSIER CASINO VENTURE INC DBA MAR,-,40,40
6723,TWIN MOUNTAIN FENCE CO,-,40,40
3791,MASTERSCAPES INC,40,-,40
398,THE ALOTIAN CLUB LLC,40,-,40
5090,FULLERTON GROUNDS MAINTENANCE LLC,40,-,40
9229,GOODWIN PRO TURF INC,40,-,40
8353,NEXT TO NATURE LANDSCAPE LLC,40,-,40
3298,BATH INC,40,-,40
3784,DESIGNS BY SUNDOWN INC,40,-,40
4500,SINGING HILLS LANDSCAPE INC,40,-,40
9005,RAINBOW LANDSCAPING INC,40,-,40
3017,JIM S PRIDE LANDSCAPING & MAINTENA,40,-,40
9599,BB STONEWORKS IND DBA LYONS SANDST,40,-,40
5409,BRIGHTVIEW LANDSCAPE SVCS INC-PHOE,40,-,40
5238,FIESTA CANNING INC,-,40,40
7421,VALLEY WIDE PLASTERING,40,-,40
1836,UK INTL SOCCER CAMPS,40,-,40
6829,3 B S FORESTRY INC,40,-,40
5202,CAMPANIA INTERNATIONAL INC,40,-,40
4633,WOOLARD BROTHERS COMMERCIAL CONTRA,40,-,40
9426,JERIS SEAFOOD INC,40,-,40
9907,VALENCIA FORESTRY,40,-,40
6432,JMR TRANSPORT CO DBA RODRIGUEZ BOA,40,-,40
7408,OYSTER DELICACY LLC,40,-,40
8466,GULF ISLAND SHRIMP AND SEAFOOD,-,39,39
7604,ROOFING SOLUTIONS LLC,39,-,39
7135,TEXSCAPE SERVICES LLC,39,-,39
3903,SUNCREST GARDENS,39,-,39
8574,ALPINE AMUSEMENT COMPANY INC,-,39,39
9121,CASEYS RIDES INC,39,-,39
3128,LANDSCAPE ART INC,39,-,39
7126,TOTAL LANDSCAPE CORP,39,-,39
1135,COWART SEAFOOD CORPORATION INC,39,-,39
303,GASPARILLA INN AND CLUB,39,-,39
8443,ANCHORAGE MOTOR INN OF YORK INC,38,-,38
6477,THE GALLIVAN CORPORATION,38,-,38
732,INNERS AMUSEMENT CO INC DBA MAJEST,38,-,38
553,EL RINCON FORESTRY,-,38,38
9978,CALVIN LANDSCAPE LLC,38,-,38
2391,GOLDSTAR AMUSEMENTS INC,38,-,38
8729,MID AMERICA LAWN MAINTENANCE INC,38,-,38
5696,GROUNDSYSTEMS INC,38,-,38
5896,ROMANS RACING STABLES INC,38,-,38
4285,BLUE SKIES LANDSCAPE LLC,38,-,38
3302,MIDWAY FOOD MARKET,32,D,H
7014,RED CREEK TREE PLANTING,38,-,38
9890,ST LOUIS SELECT LANDSCAPING & LAWN,37,-,37
5318,OCEAN BAY MANAGEMENT INC,37,-,37
3429,LANDCARE MGMT INC,37,-,37
804,MERTZ MANUFACTURING INC,37,-,37
7051,PASS PURCHASING COMPANY INC,-,37,37
7059,FRANK SHARUM LANDSCAPE DESIGN INC,37,-,37
8435,TERRA GREEN LANDSCAPES INC DBA TER,36,-,36
3240,CHATEAU ON THE LAKE RESORT SPA & C,36,-,36
6420,ELEMENTS GR AUSTIN LLC DBA ELEMENT,36,-,36
9919,OUTSIDE UNLIMITED LLC,36,-,36
104,SKI LANDSCAPE CORPORATION,36,-,36
1677,H2O IRRIGATION INC,36,-,36
544,AEM INC DBA INTERSTATE VAN LINES,36,-,36
3305,BARTENFELDER LANDSCAPE SERVICE INC,36,-,36
3859,US SPORTS INSTITUTE INC,36,-,36
8125,TURF APPEAL INC,36,-,36
1571,THE OLD COLLIER GOLF CLUB INC,36,-,36
2803,AGAVE ENVIRONMENTAL CONTRACTING IN,-,36,36
9315,WESTCORFRAMING,-,36,36
943,STRATTON CORP DBA STRATTON MTN,36,-,36
6390,ON HAND LAWN CARE INC,36,-,36
1440,WINDSOR COUNTRY CLUB,36,-,36
1449,BELLE CITY AMUSEMENTS INC,35,-,35
9380,BIG EASY FOODS,-,35,35
1249,MESSENGERS LANDSCAPE,35,-,35
3684,NATIONAL LAWN SPRINKLERS INC,35,-,35
5891,J4 FENCING AND SERVICES LLC,35,-,35
9922,GREENLEAF ASQUISITION CORP DBA GRE,35,-,35
2648,DISTINGUISHED DEVELOPMENT INC,35,-,35
6246,AMUSEMENT ATTRACTIONS,-,35,35
6593,LEGACY LANDSCAPING,35,-,35
6674,POURED FOUNDATIONS OF OHIO INC,35,-,35
5824,COLONIAL LAND DESIGN,35,-,35
263,TURF MASTERS INC,35,-,35
7870,WOODLOCH PINES INC DBA WOODLOCH PI,35,-,35
8565,CYPRESS ENTERPRISES LLC,-,35,35
7244,HERITAGE LAWN & LANDSCAPE LLC,35,-,35
980,WEST FARMS CRAWFISH,-,35,35
3272,CAJUN CENTRAL INC,35,-,35
9382,ALLIANCE LANDSCAPE COMPANY LLC,35,-,35
3171,LANDART AMERICA LLC,35,-,35
9514,MIKE WARD LANDSCAPING INC,35,-,35
442,RUNYON LANDSCAPE MGMT INC,35,-,35
9956,SUMMIT SVCS INC,35,-,35
8502,SCHILL LANDSCAPING & LAWN CARE SER,35,-,35
2389,LEE S CONCESSIONS INC,35,-,35
9045,COLUMBIA LANDCARE LLC,35,-,35
4860,TJS LAWN AND LANDSCAPING INC,35,-,35
5257,WINN CONSTRUCTION,35,-,35
9862,GREGS CRESCENT CITY AMUSEMENTS,-,35,35
4740,MAD HATTER CONCESSIONS LLC,35,-,35
5502,ARTEAGA LANDSCAPES LLC,35,-,35
8864,EPIC PAVERS INC,35,-,35
6134,MR ED S MAGICAL MIDWAYS LLC,-,35,35
1802,A E PHILLIPS & SON INC,35,-,35
5739,W H BOYER INC,35,-,35
1899,J & W SEAFOOD OF VIRGINIA INC,35,-,35
2039,COLONIAL HOSPITALITY DBA DAYS INN,35,-,35
8417,GREENSCAPE INC,35,-,35
7242,COMPASS COVE RESORT LLC,35,-,35
2795,BLUE SKY AMUSEMENTS & ENTERTAINMEN,35,-,35
1470,BLOOMINGS LAND & TURF MGT INC,35,-,35
9976,TURF TAMER INC,35,-,35
46,MITCHELL BROTHERS & SONS INC,35,-,35
6896,MITCHELL INC DBA MITCHELL LAWN & L,35,-,35
5904,KELLY MILLER BROS CIRCUS LTD,35,-,35
4034,TOWER EXTRUSIONS LTD,35,-,35
2317,SOUTHERN REFRACTORIES INC,35,-,35
1811,WEEKS LANDSCAPE MGT INC DBA MANDER,25,10,35
8170,MODERN METHOD GUNITE INC,35,-,35
8034,WESTERN HORTICULTURAL SERVICES LP,35,-,35
959,DAYTONA HOSPITALITY MANAGEMENT,35,-,35
497,FUN VEST INC,35,-,35
5182,CARNIVAL AMERICANA INC,35,-,35
9123,HYATT CORPORATION,35,-,35
688,ST ANDREWS COUNTRY CLUB,35,-,35
1049,WHEATS LAWN & CUSTOM LANDSCAPE INC,35,-,35
1389,W T RUARK & CO INC,35,-,35
7109,HARBORVIEW HOTEL INVESTORS LLC DBA,34,-,34
6108,GREEN MEADOWS DESIGN & LANDSCAPING,34,-,34
6218,PANORAMA COORDINATED SVCS INC,34,-,34
5426,PANTELYS LANDSCAPING FOR LE,34,-,34
5987,PRIDE AMUSEMENTS LLC,34,-,34
1737,ALSTEDE FARMS LLC DBA ALSTEDE FARM,18,16,34
4604,FULL CARE OF INDIANAPOLIS INC,34,-,34
6541,PR LANDSCAPING INC,34,-,34
6506,THE GOOD EARTH GARDEN CENTER,34,-,34
7559,311 GIFFORD ST OPCO LLC DBA CONNAM,34,-,34
1267,LUSA OKC LLC DBA LANDSCAPES USA,34,-,34
8577,NORTH COUNTRY WREATH CO,34,-,34
9345,E&C CONSTRUCTION COMPANY,33,-,33
5550,SITEONE LANDSCAPE SUPPLY LLC,-,33,33
9708,WEAVER RACING STABLES INC,33,-,33
860,DENNINGER ENTERPRISES,33,-,33
3066,C L I IRRIGATION & INSTALLATION IN,33,-,33
3518,SHERRY GROUP INC,33,-,33
4661,STEIN ERIKSEN LODGE MGMT CORP,33,-,33
5668,TOTAL YARD CARE INC,-,33,33
1517,SAI INVESTMENTS LLC,33,-,33
8533,ADDISON RESERVE COUNTRY CLUB,33,-,33
7380,CHRISTOPHE CLEMENT RACING STABLE I,32,-,32
5927,NEW CASTLE LAWN & LANDSCAPE INC,32,-,32
9338,EARTH TONES DESIGN INC,32,-,32
4388,TSF ACADEMY LLC,32,-,32
9654,TAS INC DBA TODD ARMSTRONG SHOWS,32,-,32
4545,JIRIK SOD FARM INC,32,-,32
5709,EVANS UNITED SHOWS INC,32,-,32
9355,UNLIMITED DRYWALL AND PAINTING LLC,32,-,32
8558,SOUTHWEST NURSERY AND SUPPLY LP,32,-,32
3731,CAP SERVICES LLC,-,32,32
9881,IOTB INC,32,-,32
9847,EAST VALLEY GOLF LTD D/B/A REVEGET,32,-,32
7501,ACME CONSTRUCTION INC,32,-,32
1318,ZALDIVAR S FORESTRY CORP,32,-,32
9884,THE COUNTRY CLUB AT WOODFIELD INC,32,-,32
8435,BROKEN SOUNDS CLUB INC,32,-,32
3659,CALLOWAY INC DBA AMERICAN LAWN CO,31,-,31
2618,MACKINAW SEASONAL RESORTS INC,31,-,31
1995,JENKINSONS PAVILION INC,31,-,31
7225,KALARAMA INC DBA LANDSCAPING BY HI,31,-,31
667,SUNRISE OF NASHVILLE INC,31,-,31
2837,ALPHA CONSOLIDATED CONTRACTING SER,31,-,31
6314,GATEWAY TO OUTDOOR SOLUTIONS LLC,30,-,30
1626,ALASKA GLACIER SEAFOOD INC,-,30,30
8220,KASTL AMUSEMENTS,30,-,30
4553,WAYNE WOOD INC,30,-,30
3408,EA QUINN LANDSCAPE CONTRACTING,30,-,30
3255,GARDENEERING INC,30,-,30
3125,SHORELINE DEV DBA SHELLS UNLIMITED,30,-,30
7512,SICILIANO LANDSCAPE COMPANY LLC,30,-,30
2983,JAMES RIVER LAWN CARE,30,-,30
2105,UNITED SOCCER ACADEMY INC,30,-,30
7123,TOLL LANDSCAPE LLC -VA,30,-,30
3442,MOON LANDSCAPING INC,30,-,30
2155,DBI SVCS LLC FORMERLY TME ENTERPRI,30,-,30
8055,VANDERBILT LANDSCAPING LLC,30,-,30
9303,WAGNERS CARNIVAL LLC,30,-,30
4242,FELIPES LAWNCARE LLC,30,-,30
1428,ZAVALA FORESTRY SERVICE LLC,30,-,30
2728,COMMONWEALTH TURF ENTERPRISES LLC,30,-,30
4795,SUPERIOR MIDWAY GAMES LLC,30,-,30
9700,JIM DUNPHYS LANDSCAPING LLC,30,-,30
9851,INTL RESORTS MGT GR LLC DBA TRUMP,30,-,30
2801,STAIRHOPPER MOVERS LLC,30,-,30
6776,LINKEL COMPANY LLC,30,-,30
7287,WOLD AMUSEMENTS INC,30,-,30
3694,CIM ENTERPRISES INC,-,30,30
5908,TROST IRRIGATION INC,30,-,30
4663,THE BRUCE COMPANY OF WI INC,30,-,30
8288,MULFORD CONCRETE INC,30,-,30
2945,KIRKWOOD MATERIAL SUPPLY INC,30,-,30
3390,CHESTERFIELD LANDSCAPE & DESIGN IN,30,-,30
6894,SFP LANDSCAPING INC,30,-,30
9893,S&S LANDSCAPING CO INC,30,-,30
6750,KARR BROTHERS DRYWALL INC,-,30,30
8303,SUNSCAPE LANDSCAPING LLC,30,-,30
1605,CONCESSION MGMT SVCS INC,30,-,30
9296,BEP/LYMAN LLC,30,-,30
7019,GRASS WORKS LAWN CARE LLC,30,-,30
8659,HIGHWAY 19 CONSTRUCTION LLC,30,-,30
101,ALL STATES LANDSCAPING INC,30,-,30
9566,CONTRERAS FORESTRY,30,-,30
2461,SNAKE RIVER SPORTING CLUB LLC,30,-,30
2459,GRADE A CRAWFISH LLC,30,-,30
8291,CARNIVAL PAYROLL OF PA CORP,30,-,30
1825,FLYNN SOUTHWEST LP,30,-,30
6242,ALEWELT READY MIX INC,30,-,30
9185,PERMIAN BASIN LANDSCAPE SPECIALTIE,30,-,30
9185,ALOHA POOLS & SPAS,30,-,30
1019,G W HALL & SON LLC,30,-,30
1571,OUTSIDE UNLIMITED INC,30,-,30
1629,RIPPONS BROTHERS SEAFOOD INC,30,-,30
7685,IVY HILL NURSERY COMPANY INC,30,-,30
5951,HOG SLAT INC,30,-,30
9607,THE BYRDS GROUP,30,-,30
7903,R G SMITH LANDSCAPING LTD DBA US L,30,-,30
7226,WOODS PLUS INC,30,-,30
6895,GIBBS LANDSCAPE CO,30,-,30
6329,IMAGESCAPES INC,30,-,30
6616,AGUINAGA BUILDERS,30,-,30
7152,PRO TURF INC,-,30,30
4408,CHANDLERS LAWN SERVICE INC,30,-,30
4126,LAND DESIGN INC,-,30,30
537,LOUISIANA LANDSCAPE SPECIALTY INC,30,-,30
3302,GROUNDWORKS INC,30,-,30
5892,SEA PINES RESORT LLC,-,30,30
4067,GALVOTEC ALLOYS INC,30,-,30
6323,BISHOP AMUSEMENT RIDES,30,-,30
504,PAULS CONCESSIONS,30,-,30
4181,CARRUTHERS LANDSCAPE MGT INC,30,-,30
2770,LAWN PATROL SERVICE INC,-,30,30
7679,FALLAS LANDSCAPE LTD,30,-,30
2459,S L ACQUISITION CO LLC DBA SUPERIO,30,-,30
9321,T&J CONCRETE FOUNDATIONS INC,30,-,30
400,SWINGLE INC DBA SWINGLE LAWN TREE,-,30,30
526,EVEN CONSTRUCTION INC,30,-,30
4060,HUGHES LANDSCAPING INC,30,-,30
6733,SANCTUARY INC,30,-,30
9967,ALL PHASE CONCRETE CONSTRUCTION IN,30,-,30
1134,ENVIRONMENTAL LOGISTICS,30,-,30
8929,ROWLEY PLASTERING LLC,-,30,30
5407,SUN VALLEY RIDES LLC,30,-,30
5717,RAY S GARDENING L C,30,-,30
2869,EXECUTIVE LANDSCAPE SERVICES LLC,30,-,30
4072,CM LLC,30,-,30
6559,PAUL MAURER SHOWS LLC,30,-,30
3196,CANAM GOLF VENTURES LLC DBA CANAM,30,-,30
9630,SEA FARMS INC,30,-,30
9473,HOTEL PROVIDERS INC DBA THE WESTIN,30,-,30
6809,WESTGROUP NAPLES LP DBA LA PLAYA B,30,-,30
4732,SLS FISHERIES INC,30,-,30
7531,PROWANT SPECIALTY CO INC,-,29,29
8234,HOOGLANDS NURSERY LLC DBA HOOGLAND,29,-,29
4566,RBD CONSTRUCTION INC,29,-,29
3990,CORONADOS POOL PLASTER INC,29,-,29
7322,BOYNTON CANYON MGMT CO DBA ENCHANT,-,29,29
9322,BROEHLS LAWN MAINTENANCE INC,29,-,29
9110,STOCKELS LAWN & LANDSCAPING INC,29,-,29
5386,BURKHOLDER BROTHERS INC,29,-,29
4560,K & D ROUNDS LANDSCAPE SVCS INC,29,-,29
4422,NATURAL ONE LLC,29,-,29
6906,5G MASONRY LLC,29,-,29
3928,SHAWNEE MISSION TREE SVC INC DBA A,29,-,29
2939,NAPLES BEACH HOTEL AND GOLF CLUB,29,-,29
4069,CLAY LOWRY FORESTRY INC,29,-,29
7890,BARRETO FORESTRY CONTRACTING INC,-,29,29
2538,THE SCOTTSDALE PLAZA RESORT,29,-,29
2963,PLANTSCAPES INC,-,29,29
5006,WYCLIFFE GOLF AND COUNTRY CLUB INC,29,-,29
8977,BAY FRESH OYSTER INC,29,-,29
9337,GF MARKETING INC DBA GUERRETTE SAL,28,-,28
5913,OCEAN EDGE RESORT LTD PARTNERSHIP,28,-,28
5196,DELAWARE NORTH COMPANIES AT GRAND,28,-,28
7188,R&A TRUCKING INC,28,-,28
9872,TENTS CHAIRS & PARTY WARES INC DBA,28,-,28
5716,GORECON INC,-,28,28
9238,SAM S AMUSEMENTS & CARNIVAL INC,28,-,28
1220,POPCORN NEAL INC,28,-,28
6346,LANHAN CONTRACTORS INC DBA LANHAN,28,-,28
3532,GREEN UP LAWNCARE,28,-,28
8858,THE PRAIRIE CLUB LLC,-,28,28
1827,J & M LAWN CARE INC,28,-,28
6253,B&J SEAFOOD INC,28,-,28
1850,THE COUNTRY CLUB OF VIRGINIA,28,-,28
2620,N CHARLOTTE LANDSCAPE MGT INC US L,28,-,28
4491,USL COLUMBIA,28,-,28
294,BROTHERS PROPERTY MGMT DBA MOUNTAI,-,28,28
7330,S&T MAGIC ENTERPRISES INC,28,-,28
7485,CAMDEL CORP DBA BAR HARBOR REGENCY,-,28,28
2699,G & O TRAWLERS INC,-,28,28
3571,HARVEST TIME SEAFOOD INC,-,28,28
7006,SOUTHERN MISSISSIPPI PINE STRAW LL,28,-,28
4897,SIERRA REFORESTATION INC,28,-,28
9751,HILTON RESORTS CORP DBA HILTON GRA,28,-,28
8944,ENVIRONMENTAL DESIGN INC,28,-,28
6664,MARATHON MOVING COMPANY INC,27,-,27
1943,BRISTOLS FARM MARKET & GARDEN CTR,27,-,27
8152,SEASONAL LANDSCAPING & NURSERY INC,27,-,27
8228,BEECHWOOD LANDSCAPE ARCHITECTURE &,27,-,27
9843,GEORGE E LEY,27,-,27
2582,MOORES GREATER SHOWS LLC,27,-,27
2679,G A LAWN CARE TURF MGT STONE LLC D,27,-,27
5562,GREENVIEW PARTNERS LLC,27,-,27
1090,ISLAND HOUSE INC,27,-,27
3221,SEVEN OAKS LANDSCAPES-HARDSCAPES I,27,-,27
4234,SUTTON BAY GOLF LLC,-,27,27
6799,EPLING LANDSCAPING & LAWN SERVICE,27,-,27
3279,KRAUSE LANDSCAPE CONTRACTORS INC,27,-,27
6372,A&A CONSTRUCTION COMPANY,27,-,27
9942,ALL METROPLEX LANDSCAPE SVCS INC,27,-,27
6302,FREMONT FOREST SYSTEMS INC,27,-,27
7671,THE MAR-A-LAGO CLUB,27,-,27
6940,MAIDSTONE CLUB,26,-,26
8988,WELLS LANDSCAPING & LAWN CARE INC,26,-,26
599,JORDAN RIVER MOVING LLC DBA JORDAN,26,-,26
7047,ADVANCED LANDSCAPE & DESIGN INC,26,-,26
6118,JTG SOLUTIONS DBA EVR-GREEN LLC,26,-,26
9816,AABLE RENTS CO,26,-,26
8339,BROWNSBURG LANDSCAPE & GARDEN CTR,26,-,26
2850,REYNA FENCING & CEDER BUSINESS,-,26,26
1775,BLAND LANDSCAPING COMPANY INC,26,-,26
8204,TRISLER LANDSCAPE MANAGEMENT INC,26,-,26
2457,PALACIOS SEAFOOD CO INC DBA ANCHOR,-,26,26
2135,CONROY LAWN & LANDSCAPE LLC,26,-,26
8834,LYON S PRESTIGE STONEWORKS LLC,26,-,26
8031,A & I INTERIORS LLC - FL,26,-,26
4890,FCC BEACH & YACHT LLC,26,-,26
1482,PRO LANDSCAPERS LLC,25,-,25
8557,E COAST EROSION BLANKETS LLCDBA E,25,-,25
8287,GPM INC,-,25,25
3988,PINNACLE LANDSCAPE & XERISCAPE INC,25,-,25
2955,MASSACHUSETTS SOLAR INC DBA KADISO,25,-,25
9178,SAFE MOVERS INC DBA ISAACS MOVING,25,-,25
7609,MALDONADO LANDSCAPE & IRRIGATION L,25,-,25
891,CROSS SOUND DELI SERVICES INC,25,-,25
2408,WEST COAST CONCESSIONS FAIRS INC D,25,-,25
8985,CHRISTOPHER STEPHENS DBA 7-11 INC,25,-,25
169,FORET CONTRACTING GROUP LLC,25,-,25
5693,JOHN ALLMAM DBA JOHN ALLMAN CONSTR,25,-,25
877,JIMENEZ & SONS LANDSCAPING INC,25,-,25
3861,BOTANICA ENTERPRISES INC,25,-,25
2314,COLORADO PROPERTY CARE,25,-,25
8537,ALL PRO LAND CARE OF TALLAHASSEE I,25,-,25
3372,PINNACLE LANDSCAPE & MAINTENANCE I,25,-,25
3922,TEXAS ROOFING COMPANY INC,-,25,25
3561,TRINITY CONCESSIONS LLC,25,-,25
4927,DFW FRAMING & CONSTRUCTION,25,-,25
6262,METAL ROOFING SOLUTIONS INC,25,-,25
3289,GLC LAWN CARE CORP,25,-,25
1666,EXTREME EXTERIORS GARDEN CENTER LL,-,25,25
8497,ENVIRONMENTAL LANDWORKS CO INC,-,25,25
599,J&S LANDSCAPING DBA J&S LAWNMAN IN,25,-,25
831,PRENDERGAST LANDSCAPE CONTRACTORS,25,-,25
5220,BURNS & SCALO ROOFING COMPANY INC,25,-,25
5667,CLASSIC TEJAS CONSTRUCTION INC,25,-,25
4520,LL BROS LLC DBA L & L COMPANY,25,-,25
4552,LOUISIANA BLUE CRAB LLC,-,25,25
7811,LUMOR ROOFING LLC,25,-,25
6100,MOUNTAIN SPLENDOR SVCS INC,25,-,25
8596,MICHAEL HATCHER & ASSOCIATES,25,-,25
6645,V & A LANDSCAPING INC,25,-,25
5511,FAIRWAY NURSERY OUTLET LLC,25,-,25
5645,APACHE STONE QUARRY LLC,25,-,25
5993,BAY AREA LANDSCAPERS LLC,25,-,25
4900,ROTH LANDSCAPE SVCS LLC,25,-,25
8388,BAY & BEACH LANDSCAPES LLC,25,-,25
3354,GREENPRO SVCS INC,25,-,25
1296,TLC LANDSCAPING INC,25,-,25
7950,LISKO FAMILY MIDWAY AMUSEMENTS IN,-,25,25
3288,AMERICAN DECORATING INC DBA AMERIC,25,-,25
1531,HERMITAGE CLUB LLC,25,-,25
5462,CULVER S LAWN & LANDSCAPING INC,25,-,25
7790,BUILDING LAWN MGMT INC DBA BIRCH I,25,-,25
7960,GRAND COUNTRY INC,-,25,25
7641,SHELTON LANDSCAPE MAINTENANCE INC,25,-,25
1604,NORTHWEST LAWNCARE INC,25,-,25
7353,ROSEHILL GARDENS INC,25,-,25
1154,WHATEVER ENTERPRISES LLC,25,-,25
9468,INFINITY LAWN AND LANDSCAPE LLC,-,25,25
7350,A&A LANDSCAPE & MAINTENANCE OF ND,25,-,25
9843,SOLEM CONCESSIONS INC,25,-,25
8882,MATHEWS CONTRACTORS INC,25,-,25
4868,JLQ CONCESSIONS LLC,25,-,25
519,RED CANYON ROOFING LLC,-,25,25
3712,PYRAMID CONTRACTORS INC D/B/A PYRA,-,25,25
2020,HERNANDEZ ROCK INC,25,-,25
