,,,,,,,,,,,,,,,
USCIS Field Office or Service Center Location,,,Petitions by Category of Relatives and Case Status,,,,,,,,,,,,
,,,Immediate Relative1,,,,All Other Relative1,,,,Total,,,,
,,,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,
 ,,,,,,,,,,,,,,,
Total,,," 170,039 "," 104,723 "," 8,713 "," 393,474 "," 89,754 "," 29,661 "," 4,917 "," 670,262 "," 259,793 "," 134,384 "," 13,630 "," 1,063,736 ",
,,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,,
,Baltimore ,BAL," 1,457 ", 183 , 26 ," 5,113 ", D , D , D , 253 ," 1,458 ", 192 , 27 ," 5,366 ",
Massachusetts,,,,,,,,,,,,,,,
,Boston ,BOS," 1,604 "," 1,108 ", 141 ," 4,526 ", D , 31 , D , 118 ," 1,606 "," 1,139 ", 146 ," 4,644 ",
,Lawrence,LAW, 574 , 138 , 38 ," 1,471 ", D , D , D , 56 , 575 , 142 , 40 ," 1,527 ",
Michigan,,,,,,,,,,,,,,,
,Detroit ,DET, 739 , 652 , 65 ," 2,140 ", D , 10 , D , 167 , 743 , 662 , 70 ," 2,307 ",
Minnesota,,,,,,,,,,,,,,,
,St. Paul ,SPM, 658 , 169 , 18 ," 2,464 ", - , D , D , 42 , 658 , 172 , 19 ," 2,506 ",
Missouri,,,,,,,,,,,,,,,
,Kansas City ,KAN, 389 , 481 , 19 , 777 , - , D , D , - , 389 , 489 , 22 , 777 ,
,St. Louis ,STL, 211 , 244 , 24 , 876 , - , - , - , - , 211 , 244 , 24 , 876 ,
Montana,,,,,,,,,,,,,,,
,Helena ,HEL, 40 , 148 , D , 273 , - , - , - , D , 40 , 148 , D , 274 ,
Nebraska,,,,,,,,,,,,,,,
,Omaha ,OMA, 140 , 231 , 26 , 390 , - , D , - , D , 140 , 239 , 26 , 394 ,
Nevada,,,,,,,,,,,,,,,
,Las Vegas ,LVG, 744 , 498 , 57 ," 2,400 ", D , 28 , D , 10 , 747 , 526 , 60 ," 2,410 ",
,Reno ,REN, 91 , 315 , D , 492 , - , D , - , - , 91 , 316 , D , 492 ,
New Hampshire,,,,,,,,,,,,,,,
,Manchester ,MAN, 106 , 122 , 11 , 248 , - , D , D , D , 106 , 124 , 12 , 251 ,
New Jersey,,,,,,,,,,,,,,,
,Mount Laurel,MTL, 552 , 764 , 31 ," 1,312 ", D , D , D , 29 , 553 , 768 , 35 ," 1,341 ",
,Newark ,NEW," 2,890 "," 2,043 ", 150 ," 9,594 ", D , 12 , D , 83 ," 2,894 "," 2,055 ", 155 ," 9,677 ",
