,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"Source: USCIS, data as of October 22, 2017. Notes:  All data are based on approved petitions during the fiscal year. Petitions approved in a fiscal year may be filed in previous fiscal years.  Per USCIS best practices, units of less than 10 beneficiaries are masked so as to limit the possibility of the de-anonymization of data. ""D"" represents data withheld to protect privacy. The letter H replaces the value in the total column where one could deduce the value of D.  While some company names may appear multiple times, USCIS does not combine companies even where the names are the same because in all cases the employer tax identification numbers are different on the petition.  The L-1A nonimmigrant classification refers to intracompany transfers of corporate managers and executives. The L-1B nonimmigrant classification refers to intracompany transfers of employees who possess “specialized knowledge.” The LZ classification refers to “blanket” L petitions and may be used by entities involved in commercial trade or services. While the term “L-1” is used for visa issuance and admission purposes, USCIS uses the “A” and “B” distinctions internally for statistical and other purposes. ",,,,,,,,,,
Employer Tax ID (Last 4 Digits) ,Employer name,Employer Industry,Total Approved Petitions,Employment Type,Class Preference,Approved Petitions by Class Preference,,,,
4739,MAMMOET USA SOUTH INC, ,103,Continuing,L1A,D,,,,760294739
 , , , ,Continuing,L1B,H,,,, 
 , , , ,Initial,L1A,D,,,, 
 , , , ,Initial,L1B,68,,,, 
3454,OPTUM SERVICES INC,Computer Systems Design Services,98,Continuing,L1A,11,,,,454683454
 , , , ,Continuing,L1B,H,,,, 
 , , , ,Initial,L1A,D,,,, 
 , , , ,Initial,L1B,53,,,, 
9951,CISCO SYSTEMS INC,Electronic Computer Manufacturing,89,Continuing,L1A,24,,,,770059951
 , , , ,Continuing,L1B,43,,,, 
 , , , ,Continuing,LZ,D,,,, 
 , , , ,Initial,L1A,D,,,, 
 , , , ,Initial,L1B,16,,,, 
3126,COMPUTER SCIENCES CORPORATION,Custom Computer Programming Services,88,Continuing,L1A,42,,,,952043126
 , , , ,Continuing,L1B,32,,,, 
 , , , ,Continuing,LZ,D,,,, 
 , , , ,Initial,L1A,D,,,, 
 , , , ,Initial,L1B,D,,,, 
8624,HEWLETT PACKARD ENTERPRISE COMPA,Computer Systems Design and Related Services,76,Continuing,L1A,25,,,,473298624
 , , , ,Continuing,L1B,39,,,, 
 , , , ,Initial,L1A,D,,,, 
 , , , ,Initial,L1B,D,,,, 
6945,CSC COVANSYS CORP,Custom Computer Programming Services,74,Continuing,L1A,54,,,,382606945
 , , , ,Continuing,L1B,10,,,, 
 , , , ,Initial,L1A,D,,,, 
 , , , ,Initial,L1B,D,,,, 
4110,APPLE INC,Electronic Computer Manufacturing,73,Continuing,L1A,27,,,,942404110
 , , , ,Continuing,L1B,32,,,, 
 , , , ,Continuing,LZ,D,,,, 
 , , , ,Initial,L1A,D,,,, 
 , , , ,Initial,L1B,D,,,, 
7089,CAE SIMUFLITE INC,Medical Equipment and Supplies Manufacturing,71,Continuing,L1B,D,,,,223437089
 , , , ,Initial,L1B,69,,,, 
9797,UST GLOBAL INC,Custom Computer Programming Services,71,Continuing,L1A,60,,,,261539797
 , , , ,Initial,L1A,11,,,, 
5249,ORACLE AMERICA INC,Software Publishers,70,Continuing,L1A,16,,,,942805249
 , , , ,Continuing,L1B,22,,,, 
 , , , ,Continuing,LZ,D,,,, 
 , , , ,Initial,L1A,D,,,, 
 , , , ,Initial,L1B,30,,,, 
0648,SAPIENT CORPORATION,Custom Computer Programming Services,68,Continuing,L1A,H,,,,43130648
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Initial,L1A,H,,,, 
 , , , ,Initial,L1B,D,,,, 
8324,PRICEWATERHOUSECOOPERS LLP,Administrative Management and General Management Consulting Services,68,Continuing,L1A,55,,,,134008324
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Continuing,LZ,D,,,, 
 , , , ,Initial,L1A,D,,,, 
 , , , ,Initial,L1B,D,,,, 
5772,DELOITTE TAX LLP,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",68,Continuing,L1A,H,,,,861065772
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Initial,L1A,14,,,, 
 , , , ,Initial,L1B,35,,,, 
7033,SYNECHRON INC,Custom Computer Programming Services,67,Continuing,L1A,H,,,,432077033
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Initial,L1A,20,,,, 
 , , , ,Initial,L1B,13,,,, 
2603,FMR LLC D/B/A FIDELITY INVESTMEN,Miscellaneous Financial Investment Activities,65,Continuing,L1A,13,,,,43532603
 , , , ,Continuing,L1B,30,,,, 
 , , , ,Initial,L1A,H,,,, 
 , , , ,Initial,L1B,D,,,, 
3695,FISERV SOLUTIONS LLC,"Data Processing, Hosting, and Related Services",64,Continuing,L1A,17,,,,391833695
 , , , ,Continuing,L1B,42,,,, 
 , , , ,Initial,L1A,D,,,, 
 , , , ,Initial,L1B,D,,,, 
5147,ABBVIE INC,Pharmaceutical Preparation Manufacturing,62,Continuing,L1A,51,,,,320375147
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Initial,L1A,D,,,, 
 , , , ,Initial,LZ,D,,,, 
0210,CHEVRON CORPORATION,Oil and Gas Extraction,62,Continuing,L1A,35,,,,940890210
 , , , ,Continuing,L1B,H,,,, 
 , , , ,Initial,L1B,D,,,, 
1374,HEXAWARE TECHNOLOGIES INC,Custom Computer Programming Services,61,Continuing,L1A,52,,,,223301374
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Initial,L1A,D,,,, 
 , , , ,Initial,L1B,D,,,, 
3900,SYNTEL INC,Custom Computer Programming Services,60,Continuing,L1A,H,,,,320133900
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Initial,L1A,12,,,, 
3075,JVIC CATALYST SERVICES LLC, ,59,Continuing,L1B,35,,,,320003075
 , , , ,Initial,L1B,24,,,, 
4442,MICROSOFT CORP,Software Publishers,58,Continuing,L1A,25,,,,911144442
 , , , ,Continuing,L1B,H,,,, 
 , , , ,Initial,L1A,D,,,, 
 , , , ,Initial,L1B,15,,,, 
3497,AMERICAN EXPRESS TRAVEL RELATED,Credit Card Issuing,56,Continuing,L1A,H,,,,133133497
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Initial,L1A,11,,,, 
3298,STARWOOD HOTELS & RESORTS WORLDW,Hotels (except Casino Hotels) and Motels,56,Continuing,L1A,51,,,,521193298
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Initial,L1A,D,,,, 
6041,SAP AMERICA INC,OTHER,55,Continuing,L1A,D,,,,363556041
 , , , ,Continuing,L1B,11,,,, 
 , , , ,Initial,L1A,12,,,, 
 , , , ,Initial,L1B,27,,,, 
1591,L&T TECHNOLOGY SERVICES LTD,Engineering Services,55,Continuing,L1A,10,,,,462951591
 , , , ,Continuing,L1B,14,,,, 
 , , , ,Initial,L1A,20,,,, 
 , , , ,Initial,L1B,11,,,, 
7665,BANK OF AMERICA NA,Commercial Banking,55,Continuing,L1A,17,,,,941687665
 , , , ,Continuing,L1B,35,,,, 
 , , , ,Continuing,LZ,D,,,, 
 , , , ,Initial,L1B,D,,,, 
4303,LARSEN & TOUBRO INFOTECH LIMITED,Custom Computer Programming Services,54,Continuing,L1A,31,,,,223524303
 , , , ,Continuing,L1B,14,,,, 
 , , , ,Initial,L1A,D,,,, 
 , , , ,Initial,L1B,D,,,, 
2018,SYNTEL INC,Custom Computer Programming Services,54,Continuing,L1A,44,,,,382312018
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Initial,L1A,D,,,, 
1517,DELOITTE & TOUCHE LLP,OTHER,53,Continuing,L1A,29,,,,133891517
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Initial,L1A,D,,,, 
 , , , ,Initial,L1B,D,,,, 
0650,HONEYWELL INTERNATIONAL INC,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use",53,Continuing,L1A,25,,,,222640650
 , , , ,Continuing,L1B,H,,,, 
 , , , ,Initial,L1A,D,,,, 
 , , , ,Initial,L1B,12,,,, 
3671,SAMSUNG HEAVY INDUSTRIES CO LTD, ,52,Continuing,L1A,D,,,,522103671
 , , , ,Initial,L1A,22,,,, 
 , , , ,Initial,L1B,28,,,, 
0009,EMC CORPORATION,Custom Computer Programming Services,51,Continuing,L1A,28,,,,42680009
 , , , ,Continuing,L1B,17,,,, 
 , , , ,Initial,L1A,D,,,, 
 , , , ,Initial,L1B,D,,,, 
6361,MORGAN STANLEY SERVICES GROUP IN,Investment Banking and Securities Dealing,51,Continuing,L1A,28,,,,260116361
 , , , ,Continuing,L1B,H,,,, 
 , , , ,Initial,L1A,D,,,, 
7166,NTT DATA INC,Custom Computer Programming Services,48,Continuing,L1A,35,,,,42437166
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Continuing,LZ,D,,,, 
 , , , ,Initial,L1A,D,,,, 
 , , , ,Initial,L1B,D,,,, 
7241,HSBC BANK USA NA,Commercial Banking,45,Continuing,L1A,20,,,,201177241
 , , , ,Continuing,L1B,15,,,, 
 , , , ,Initial,L1A,D,,,, 
 , , , ,Initial,L1B,D,,,, 
0487,PAYPAL INC,"Financial Transactions Processing, Reserve, and Clearinghouse Activities",45,Continuing,L1A,10,,,,770510487
 , , , ,Continuing,L1B,33,,,, 
 , , , ,Initial,L1A,D,,,, 
 , , , ,Initial,L1B,D,,,, 
9720,MPHASIS CORPORATION,Custom Computer Programming Services,45,Continuing,L1A,32,,,,954759720
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Initial,L1A,D,,,, 
 , , , ,Initial,L1B,D,,,, 
8821,SOLOTECH US CORPORATION, ,44,Continuing,L1A,D,,,,208718821
 , , , ,Continuing,L1B,H,,,, 
 , , , ,Initial,L1A,D,,,, 
 , , , ,Initial,L1B,17,,,, 
5091,MINDTREE LIMITED,Custom Computer Programming Services,44,Continuing,L1A,37,,,,980215091
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Initial,L1A,D,,,, 
7553,BP AMERICA INC,Oil and Gas Extraction,41,Continuing,L1A,29,,,,942257553
 , , , ,Continuing,L1B,H,,,, 
 , , , ,Initial,L1A,D,,,, 
9340,GENERAL ELECTRIC COMPANY,Scientific Research and Development Services,39,Continuing,L1A,15,,,,140689340
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Continuing,LZ,D,,,, 
 , , , ,Initial,L1A,D,,,, 
 , , , ,Initial,L1B,D,,,, 
9219,INFOR US INC,Custom Computer Programming Services,38,Continuing,L1A,11,,,,203469219
 , , , ,Continuing,L1B,12,,,, 
 , , , ,Continuing,LZ,D,,,, 
 , , , ,Initial,L1A,D,,,, 
 , , , ,Initial,L1B,D,,,, 
0193,DEUTSCHE BANK NEW YORK BRANCH,Investment Banking and Securities Dealing,38,Continuing,L1A,27,,,,352420193
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Initial,L1A,D,,,, 
 , , , ,Initial,L1B,D,,,, 
5019,WEATHERFORD INTERNATIONAL LLC,Oil and Gas Field Machinery and Equipment Manufacturing,37,Continuing,L1A,D,,,,42515019
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Initial,L1A,D,,,, 
 , , , ,Initial,L1B,23,,,, 
9723,ITC INFOTECH USA INC,Computer Systems Design and Related Services,37,Continuing,L1A,H,,,,223239723
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Initial,L1A,H,,,, 
 , , , ,Initial,L1B,D,,,, 
7496,CYIENT INC,Computer Systems Design Services,37,Continuing,L1A,D,,,,330867496
 , , , ,Continuing,L1B,H,,,, 
 , , , ,Initial,L1A,D,,,, 
 , , , ,Initial,L1B,15,,,, 
0828,DEUTSCHE BANK SECURITIES INC,Investment Banking and Securities Dealing,36,Continuing,L1A,28,,,,132730828
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Initial,L1A,D,,,, 
7129,TRINIDAD DRILLING LTD, ,35,Continuing,L1B,D,,,,342057129
