,,,,,,,
Petitioner Location,,,"Petitions by State, Company, and FEIN (Last 4 Digits)",,,,
,,,Petitions by U.S. Employer and U.S. Agent1,,,,
,,,Petitions Received2,Approved3,Denied4,Pending5,
 ,,,,,,,
,,PALOMA HARVESTING INC,,,,1,
,3851,SEBRING CITRUS INC,1,3,,1,
,3876,DESOTO FRUIT AND HARVESTING INC,3,3,,,
,3997,A SOTO SOUTHERN AG INC,,,1,,
,4034,VASQUEZ CITRUS & HAULING INC,,,1,,
,,VASQUEZ CITRUS 7 HAULING INC,1,1,,,
,4072,TOMMASO S QUEENS,1,1,,,
,4132,JFT HARVESTING INC,2,2,,,
,4138,NATURE S GREEN INC,1,1,,,
,4355,KING FRESH TOMATOES INC,2,1,,,
,4475,MARTINEZ & SONS TRUCKING LLC,3,5,,,
,4538,GLEN HILL PROCTOR INC,1,1,,,
,4550,OASIS HARVESTING INC,1,1,,,
,4636,EL VALLE HARVESTING INC,,1,,,
,4682,(blank),,,,1,
,4755,JAMESU FARM LABOR LLC,,,,1,
,4782,MARTIN S CONTRACTORS AND LANDCAPIN,1,1,,,
,4958,D / B / A FRANCO MEDINA HARVESTING,1,1,,,
,4991,(blank),1,1,,,
,5090,(blank),2,2,,,
,5261,MELON PRINCE 1 LLC,2,1,,,
,5314,TM HARVESTING INC,1,1,,,
,5373,DUNSON HARVESTING INC,1,1,,,
,5673,GOMELLO LLC,1,1,,,
,5682,J HERNANDEZ HARVESTING INC,2,2,,,
,5683,AA HUAPILLA PRODUCE LLC,1,1,,,
,5714,RH HARVESTING LLC,3,3,,,
,5805,FROG SONG ORGANICS LLC,1,1,,,
,5859,DEL SUR HARVESTING LLC,2,2,1,,
,5935,FERNANDO MEZA HARVESTING INC,1,1,,,
,6043,RED DIAMOND ENTERPRISES INC,1,1,,,
,6156,CHIVAS HARVESTING 2 INC,1,1,,,
,6163,JOHNSON HARVESTING INC,1,1,,,
,6421,TRIPLE M FRUIST CO INC,1,1,,,
,6466,STATEWIDE HARVESTING & HAULING INC,2,2,,,
,6541,PRIDE HARVESTING LLC,4,4,1,,
,6849,HYATT FARMS,,,,1,
,6910,BAILEY FARMS SOUTH LLC,,1,,,
,6918,5 G HARVESTING LLC,,1,,,
,,RODRIGO GUTIERREZ TAPIA DBA 5 G HA,2,3,,1,
,6983,MBR HARVESTING INC,1,1,,,
,7063,S M HERNANDEZ AND SONS INC,1,1,,,
,7155,S DERRINGER HARVESTING INC,1,1,,,
,7359,B & W QUALITY GROWERS INC,7,7,,1,
,7507,DANIEL HARVESTING INC,1,2,,,
,7594,PEQUENO HARVESTING LLC,2,3,,,
,7687,USA SPECIALTY SVCS CORP,,,,1,
,7744,JOSE M GRACIA HARVESTING INC,4,3,,1,
,7821,(blank),1,1,,,
,7844,MARIN J CORP,4,5,,,
,7848,SPIVEY FARMS INC,1,1,,,
,8040,RODRIGUEZ CITRUS HARVESTING INC,1,1,,,
,8141,AGRI CREW LLC,1,1,,,
,8397,R&R HARVESTING INC,3,8,,,
,8482,BAUTISTA FARMS TRUCKING LLC,7,5,,1,
,8556,NAVARRO HARVESTING INC,1,1,,,
,8602,(blank),2,2,,,
,8787,MARGARET MONDRAGON,,1,,,
,8792,MIDWEST DETASSELING LLC,6,6,,,
,8866,D&J AND SON S HARVESTING INC,2,2,,,
,9333,OVERLOOK HARVESTING CO LLC,2,4,,,
