,,,,,,,
Petitioner Location,,,"Petitions by State, Company, and FEIN (Last 4 Digits)",,,,
,,,Petitions by U.S. Employer and U.S. Agent1,,,,
,,,Petitions Received2,Approved3,Denied4,Pending5,
 ,,,,,,,
,4595,SMITH & SCOTT OF WESTERN KENTUCKY,,1,,,
,4626,(blank),1,1,,,
,4648,(blank),1,1,,,
,4653,HOLLIDAY TOBACCO INC,,1,,,
,4819,(blank),1,1,,,
,4834,CHESTER FARMS,1,1,,,
,4868,LYONS FARM,,,,1,
,4974,DARNELL FARM PARTNERSHIP,1,1,,,
,5012,(blank),1,1,,,
,5025,(blank),,1,,,
,5156,(blank),,1,,,
,5163,GARTH MIDDAUGH DBA GM FARMS TOBACC,,1,,,
,5235,(blank),1,1,,,
,5268,(blank),,1,,,
,5347,(blank),,1,,,
,5386,S AND E GROWERS LLC,1,1,,,
,5398,(blank),1,1,,,
,5414,(blank),1,1,,,
,5494,(blank),1,1,,,
,5500,(blank),1,1,,,
,5589,(blank),1,1,,,
,5602,STEVE JONES DBA JONES PARTNERSHIP,,1,,,
,5665,(blank),1,1,,,
,5731,(blank),,1,,,
,5809,KAMUF TOBACCO CO LLC,,1,,,
,5848,(blank),1,1,,,
,5927,BLAKE EDWARDS FARMS INC,1,1,,,
,5950,BENNER FARMS & HARVESTING LLC,1,1,,,
,5972,(blank),1,1,,,
,6005,(blank),2,3,,,
,6100,TRT LLC,1,1,,,
,6143,(blank),1,1,,,
,6155,(blank),1,1,,,
,6200,P & C TOBACCO,,1,,,
,6220,(blank),,1,,,
,6352,(blank),1,1,,,
,6397,HHR LLC,1,1,,,
,6400,K & L FARMS LLC,,1,,,
,6497,COACHS CEDAR CREEK INC,1,1,,,
,6598,(blank),,1,,,
,6626,(blank),1,1,,,
,6688,(blank),1,1,,,
,6748,(blank),,1,,,
,6755,TRI GROWERS LLC,1,1,,,
,6782,(blank),1,1,,,
,6788,(blank),1,1,,,
,6846,(blank),1,1,,,
,6903,W & H FARMS LLC,1,1,,,
,6908,GARY L BRAME FARMS LLC,,1,,,
,6923,(blank),1,1,,,
,6939,(blank),1,1,,,
,7056,TOMMY CULWELL DBA TRIPLE C NURSERY,1,1,,,
,7110,(blank),1,1,,,
,7136,WILLIAMSON FARMS LLC,,1,,,
,7192,(blank),,1,,,
,7234,(blank),,1,,,
,7253,(blank),,1,,,
,7284,MAS ASSOCIATION,,1,,,
,7343,AWMA INC FOR J BEC SEEDS INC,,,,1,
,7349,SMOOT FARMS,1,1,,,
,7351,(blank),1,1,,,
,7362,OVERTON ENTERPRISES LLC,1,1,,,
,7442,(blank),1,1,,,
,7473,AWMA INC FOR ROGER STULL,,,,1,
,7476,ROWLETT TOBACCO FARMS LLC,1,1,,,
,,(blank),1,1,,,
,7524,(blank),1,1,,,
,7754,(blank),1,1,,,
,7772,PLEASURE VIEW FARMS LLC,1,1,,,
,7937,(blank),1,1,,,
,7962,JACK GANT FARMS,,1,,,
,7993,(blank),1,1,,,
,8154,(blank),1,1,,,
,8174,(blank),1,1,,,
,8254,M & C FARMING LLC,1,1,,,
,8268,(blank),1,1,,,
,8274,(blank),1,1,,,
,8282,JONES KEY,,1,,,
,8326,(blank),1,1,,,
,8427,(blank),,1,,,
,8434,(blank),,1,,,
,8473,GREG WILSON OWNER / OPERATOR,,1,,,
,8502,TERRY C RICHARDSON,1,1,,,
,8550,JEFFERSON S FARM LLC,,1,,,
,8652,JORDAN FARMS TOBACCO LLC,1,1,,,
,8719,(blank),,1,,,
,8779,N & A THOMAS FARMS LLC,1,1,,,
,8780,BARKLEY HANCOCK,1,1,,,
,8815,PHILLIPS FAMILY FARMS LLC,1,1,,,
,8839,JACKIE CARSON FARMS,,1,,,
,8900,(blank),1,1,,,
,8923,RICKY THURSTON FARMS,,1,,,
,8940,BURGESS FARMS LLC,,1,,,
,8943,(blank),1,1,,,
,8956,EUGENE WRIGHT AND SONS LLC,1,1,,,
,8976,CARROLLTON GREENHOUSE TOBACCO SUPP,1,1,,,
,9020,3 J FARMS LLC,1,1,,,
,9040,SEVEN SPRINGS FARMS,1,1,,,
,9125,ODOM NURSERY CO INC,1,1,,,
,9239,NUNN FARMS LLC,,1,,,
,9247,BRECK TOBACCO LLC,,1,,,
,9284,KUEGEL TAX & ACCOUNTING INC,1,1,,,
,9321,(blank),1,1,,,
,9324,AARON M WALKER LLC,1,1,,,
,9371,(blank),,1,,,
,9372,(blank),,1,,,
,9384,(blank),,1,,,
,9407,(blank),1,1,,,
,9511,K & B FARMS PARTNERSHIP,1,1,,,
,9575,(blank),,,,1,
,9581,COOPLAND FARMS SVCS LLC,1,1,,,
,9596,(blank),1,1,,,
,9619,K WJ LLC,1,1,,,
,9678,MAUPIN FARMS LLC,1,1,,,
,9742,(blank),1,1,,,
,9757,(blank),,1,,,
,9776,ROBEY FARMS,1,1,,,
,9779,(blank),1,1,,,
,9800,SANDY HILL FARMS LLC,,1,,,
,9841,(blank),,1,,,
,9872,SEASONAL HANDS LLC/MAYRA DIAZ BALL,,,,1,
,9879,GERMANTOWN FARMS LLC,,1,,,
,9897,SHRYOCK FARM INC,1,1,,,
,9903,(blank),1,1,,,
,9963,(blank),1,1,,,
Kentucky Total,,,156,230,,14,
Louisiana,,CRAIG GAUTREAUX,,,,1,
,,JOEY SCHNEIDER,,,,1,
,,MORROW FARMS / FLETCHER FARMS,1,,1,,
,,MORROW FARMS/FLETCHER FARMS,1,1,,,
,0066,3D SUGAR FARMS INC,,,,1,
,0226,BIEBER FARMS MANAGEMENT,,1,,,
,0253,M J NAQUIN INC,1,1,,,
,0474,TROY WEST FARMS,,,,1,
,0493,PATOUT EQUIPMENT COMPANY,1,1,,,
,0619,SOUTH LOUISIANA OYSTER SEED FARMIN,1,1,,,
,1038,FLORENCE FARMS LLC,1,1,,1,
,1094,SUGAR RUN TRUCKING L L C,,1,,,
,1168,SEGURA FARMS LLC AND JAIME SEGURA,,1,,,
,1298,FREYOU FARMS,1,1,,,
,1311,WESLEY JONES FARMS,1,1,,,
,1493,ST MARY SUGAR COOPERATIVE INC,1,1,,,
,1568,POPE BROTHERS DAIRY LLC,2,2,,,
,1580,DEMAND QUALITY L L C,1,1,,,
,1728,CANE INC,1,1,,,
,1751,TRABEAUX FARMS INC,1,1,,,
,1767,M HYMEL & SONS INC,,1,,,
,1852,ROCKY RAY DBA RAYCO TREES,1,1,,,
,1990,ROSS FREDERICK,1,2,,,
,2000,LASUCA FARM L L C,2,2,,,
,2122,D & R BLANCHARD FARMS INC,,,,1,
,2210,WILLIAM J O BRIEN,1,1,,,
,2816,BIEBER FARMS LTD,1,1,,,
,2846,TRIMCO NURSERIES,,,,1,
,2852,MELANCON SUGARCANE FARMS INC,,,,1,
,3018,JOHNDALES FARM,1,1,,,
,3083,CHARLES GUIDRY FARMS,,2,,,
,3132,LIONEL MOUNIER JR FARM,1,1,,,
,3185,MONTE ROSINSKI FARMS LLC,,1,,,
,3246,DUFECO PLANTING CO,,1,,,
,3484,TAF TRUCKING LLC,1,1,,,
,3556,NEWTON CANE CO IN,1,1,,,
,3637,KARL A GLASER FARM LLC,,1,,,
,3710,LONE PINE FARMS,1,1,,,
,,LONEPINE FARMS,1,1,,,
,3894,BLANCHARD & PATOUT INC,,,1,,
,3980,BLACK GOLD FARMS INC,1,1,,,
,4045,T LANAUX & SON LLC,,1,,,
,4241,F & M VARGAS NURSERY LLC,1,1,,,
,4264,K & M CANE,2,2,,,
,4353,EUGENE GRAVOIS SVCS INC,1,1,,,
,4611,BEN LINK FARMS LLC,1,1,,,
,4803,GREEN ACRES,,1,,,
,4821,TEX EMMA INC,,1,,,
,4850,LANDRY POCHE STRAWBERRY FARM INC,1,1,,,
,4871,RAY JOHN FORREST DBA CANEMOUNT PLA,1,1,,,
,4888,DAVID LANDRENEAU FARMS,,,,1,
,5149,FRANCOIS FARMS LLC,1,1,,,
,5189,THE BRANCH RANCH INC,1,1,,,
,5270,CANEZARO BROTHER S FARMS LLC,,1,,,
,5645,EARL ROY ENTERPRISES LLC,1,1,,,
,5932,B & T FARMS PARTNERSHIP,,,,1,
,5987,E & L BIEBER FARMS LLC,,,,1,
,6006,JIMMY LEBLANC,1,1,,,
,6029,D & D SPORTING LLC,1,1,,,
,6073,BELMONT FARMS INC,1,1,,,
,6220,CAMPESI & LEGLUE PLANTING LLC,,,,1,
,6294,DELTA DAIRY LLC,1,1,,,
,6390,A-1 GROWERS INC,,,,1,
,6514,JOHN GUIDRY FARMS,,1,,,
,6528,H & B FARMS LLC,,,1,,
,6657,KURT GOEBEL FARMS,1,1,,,
,6840,ALMA PLANTATION LLC,2,2,,,
,6855,HARRIS SEAFOOD DISTRIBUTION LLC DB,1,1,,,
,7036,DOUG YOUNG NURSERY,,,,1,
,7041,RYLAND ENTERPRISES INC,,,,1,
,7228,SIMON FARMS LLC,1,1,,,
,7235,ELLENDER FARMS INC,1,1,,,
,7257,ZAUNBRECHER & CASSEDY FARMS INC,,,,1,
,7408,AQUACULTURE OYSTER FARMING OF LA L,1,1,,,
,7624,JOHN L BURT III FARMS,1,1,,,
,7861,FREY FARMS PARTNERSHIP,,,,1,
,7923,D AND D PLANTERS INC,,1,,,
,8005,(blank),,,,2,
,8043,AARON DUHON FARMS,1,1,,,
,8171,JAS CRAWFISH LLC,,1,,,
,8232,SCHEXNAYDER PLANTING & MANUFACTURI,1,1,,,
,8263,RACELAND RAW SUGAR LLC,1,1,,,
,8374,DAWSON FARMS LLC,,,,1,
,8471,SOUTHSIDE FARMS INC & RONALD R HEB,1,1,,,
,8630,BESSIE K PLANTING INC,,,,1,
,8645,HENDERSON FARMS,1,1,,,
,8887,AGRILIFE PROTEIN SOLUTIONS,1,1,,,
,8966,MZ GROWERS PARTNERSHIP,,1,,,
,8995,PAUL SCHEXNAYDER FARMS,1,,,1,
,9203,PATOUT BROTHERS LITTLE VALLEY PLAN,1,5,,,
,9402,KEITH DUGAS FARMS,,1,,,
,9414,SWEET B FARMS INC,1,1,,,
,9494,LOUISIANA TREE FARM INC,1,1,,,
,9517,BURT OUBRE FARMS,1,1,,,
,9572,FRITZ ISLAND FARMS,,,,1,
,9618,M J NAQUIN INC,1,1,,,
,,WELCOME PLANTATION INC,4,4,,,
,9644,ALL REGIONS SERVICES INC,1,1,,,
,9670,EDWARD J VINCENT FARMS,1,1,,,
,9758,LOREAUVILLE HARVESTING LLC,1,2,,,
,9857,MORRIS GROUP LLC,1,1,,,
,9862,JOHN A RICHE FARM,1,1,,,
Louisiana Total,,,70,92,3,23,
Maine,2554,CHERRYFIELD FOODS INC,,1,,,
,3061,YPC FOREST ENTERPRISE INC,6,6,,,
,8143,HENNESSEY BROTHERS,,1,,,
Maine Total,,,6,8,,,
Maryland,1691,MICHAEL DICKINSON INC,,,,1,
,3503,HARDING S ORCHARD LLC,1,1,,,
,6226,DEEP RUN FARMS,,1,,,
,6789,(blank),,,,1,
,9386,ANGELICA NURSERIES INC,1,1,,,
Maryland Total,,,2,3,,2,
Massachusetts,3788,MERRIMACLE VALLEY APIARIES INC,,,,1,
Massachusetts Total,,,,,,1,
Michigan,1623,HENRY ORCHARDS INC,1,1,,,
,2315,MICHAEL D AND MARK A EVANS PARTNER,1,1,,,
,2640,HOLLENBECK ORCHARDS,1,1,,,
,3690,GLEI S INC,1,1,,,
,4183,RETTELE RACING STABLE,,,,1,
,4975,THOME ORCHARDS LLC,1,1,,,
,5465,LENTZ FARMS INC,1,1,,,
,5588,JOHNSON FARMS,1,1,,,
,5938,JAWOR BROS BLUEBERRIES INC,1,1,,,
,6208,NEW LEAF ORCHARDS LLC,1,1,,,
,6467,YOUNGQUIST FAMILY FARM LLC,1,1,,,
,6571,FRISKE ORCHARDS,1,1,,,
,6732,A&B COSTANZA FARMS LLC,2,2,,,
,6766,(blank),1,1,,,
,6918,WINDY RIDGE ORCHARDS,1,1,,,
,8128,SVF INC,1,1,,,
,8621,HART FARM LLC,1,1,,,
,9303,JOE RASCH ORCHARDS INC,1,1,,,
,9609,MANZANA LLC,2,2,,,
Michigan Total,,,20,20,,1,
Minnesota,1154,REECCE FARMS INC,1,1,,,
,,REECE FARMS INC,1,2,,,
,1254,PROSSER KUZNIA GP,,1,,,
,2500,VEN ERKEL FARMS INC,1,1,,,
,2734,ANDERSON TRUCK FARM,1,1,,,
,3053,(blank),1,1,,,
,3569,YAGGIE FARMS,,,,1,
,4131,MILL FARMS,1,1,,,
,4208,RIVERVIEW LLP,1,1,,,
,6156,WESCOTT AGRI PRODUCTS INC,1,1,,,
,6447,SOUTHWIND ORCHARDS,1,1,,,
,7032,AMERICAN SPORT FISH,,,,1,
,8471,HICKORY ORCHARD LLC,1,1,,,
,9637,LAMB S HONEY FARM,,,,1,
,9703,HILLTOP SWINE INC,1,1,,,
Minnesota Total,,,11,13,,3,
Mississippi,0025,REEVES FARMS LLC,1,1,,,
,1139,PEBB FARMS LLC,,,,1,
,1677,MATTHEW KNIGHT FARMS,1,1,,,
,1995,FAT CAT LLC,1,1,,,
,2468,MURPHEE FLYING SERVICE INC,,,,1,
,2644,DAVID WHITE FARMS LLC,1,1,,,
,2792,PARKER SMITH FARMS,,1,,,
,2980,B & L FARMS,1,1,,,
,3813,RONNIE EASLEY FARMS LLC,1,1,,,
,3880,RYAN ALEXANDER FARMS,1,1,,,
,4198,BARTON & SONS INC,,,,1,
,5485,ANDY LANDRETH FARMS,1,1,,,
,5715,DOUBLE B FARMS & GIN LLC,1,1,,,
,6275,BROWER FARMS,1,1,,,
,6293,H2A COMPLETE II INC,4,6,,,
,6580,RODGERS FARMS,1,1,,,
,7065,LOWERY HAULING INC,2,2,,,
,7197,EM FARMS LLC,1,1,,,
,7610,C&E FARM,1,1,,,
,8018,ANDY LANDRETH FARMS,1,1,,,
,8211,JIM SUBER FARM,,1,,,
,8977,JF PHILLIPS FARMS,,1,,,
,9087,WILLIAMSON FAMILY FARMS,1,1,,,
,9302,4E FARMS PARTNERSHIP,1,1,,,
,9771,E & E FARMS,1,1,,,
,9856,W & W FARMS OF CALHOUN LLC,1,1,,,
,9865,E 3 PARTNERSHIP,1,1,,,
Mississippi Total,,,25,30,,3,
Missouri,0310,NORTHSTAR AG,1,1,,,
,0409,A S INC,1,1,,,
,0607,KB CUSTOM AG SVCS INC,1,1,,,
,0916,BREINIG FARMS INC,,1,,,
,1047,CARLISLE FARMS,1,1,,,
,1052,FUGLEBERG FARMS,1,1,,,
,2122,MALONEY FARMS,1,1,,,
,2174,TRI COUNTY ELECTRICAL CONTRACTORS,1,2,,,
,2980,DEWEY PRODUCE INC,1,1,,,
,4026,LEES CUSTOM HARVESTING INC,2,2,,,
,4609,BRADASH FARMS INC AND JEFFREY SHIV,,1,,,
,5507,DAVE OLSON INC,,1,,,
,5628,DAKOTA VALLEY GROWERS LLLP,1,1,,,
,5829,JONES FARM,,,,1,
,6206,GRIFFITTS & CODER CUSTOM CHOPPING,2,2,,,
,7254,ITTA BENA PLANTATION III,,1,,,
,7306,ADAMS TRUCKING,,,,1,
,9341,JOHN HAAS,1,,,,
,9360,LOCHIRCO FRUIT & PRODUCE INC DBA H,1,1,,,
Missouri Total,,,15,19,,2,
Montana,,(blank),,,,1,
,2390,(blank),1,1,,,
,2787,MILES CITY LIVESTOCK COMMISSION LL,1,1,,,
,3137,ROARING FORK SHEEP LLC,1,1,,,
,5214,LEGACY LAND & LIVESTOCK LLC,1,1,,,
,7516,(blank),1,1,,,
,8467,GREGORY LIVESTOCK CO,1,1,,,
,9279,(blank),1,1,,,
,9793,FLAT ACRE FARMS INC,1,1,,,
Montana Total,,,8,8,,1,
Nebraska,,AL SIZZLIN INC,,,,1,
,,ALL SIZZIN INC,,,,1,
,,ALL SIZZLIN INC,,,,1,
,,(blank),,,,1,
,0146,CSS FARMS INC,1,1,,,
,2114,HELDT PRODUCE,,,,1,
,2826,TEN WEST CATTLE INC,1,1,,,
,3998,NBA HARVESTING LLC,1,1,,,
,4631,THOMPSON SEED POTATO PTR,2,2,,,
,6169,GARY ROBISON D/B/A ROBISON CUSTOM,1,1,,,
,7129,JSMM FARMS LLC,2,2,,,
Nebraska Total,,,8,8,,5,
Nevada,0912,PERI & SON FARMS OF CA LLC,,1,,,
,,PERI & SONS FARMS OF CA LLC,,,,1,
,5412,PERI & SONS FARMS INC,10,11,,2,
,5794,SNYDER LIVESTOCK CO INC,1,1,,,
Nevada Total,,,11,13,,3,
New Hampshire,,CLARK BROTHERS ORCHARDS LLC,2,2,,,
,,GOTTAS FARM,,,,1,
,,GROWER DIRECT FARMS,,,,1,
,,JOHNNYS ROADSIDE MKT GARDEN,,,,1,
,,MEADOW VIEW FARM,,,,1,
,0453,RUSSELL ORCHARDS,1,1,,,
,0853,B W BISHOP & SONS INC DBA BISHOP S,1,1,,,
,1125,FLAT HILL ORCHARDS,1,1,,,
,1254,HORSE LISTENERS ORCHARD LLC,,1,,,
,1361,COOPER FARMS,1,1,,,
,,COOPER FARMS INC,1,1,,,
,1407,BROOKSBY FARM,,1,,,
,1487,HENRY J STEERE DBA STEERE ORCHARD,1,1,,,
,1901,DAVID R SHEARER DBA PINE HILL ORCH,1,1,,,
,1981,GLENDALE FRUIT FARM LLC,,1,,,
,2401,APPLECREST FARM ORCHARDS LLC,1,1,,,
,2593,THE LYMAN FARM LLC,1,1,,,
,2671,ROGERS ORCHARDS INC,2,2,,,
,2762,ROBERT CIRCLE R FRUIT FARMS INC,1,1,,,
,2785,KELLY ORCHARDS,,1,,,
,3220,EVERTT T DIMOCK DBA NORTH STAR ORC,1,1,,,
,3352,LAKESIDE ORCHARDS,1,1,,,
,3364,ROWE ORCHARDS,2,2,,,
,3400,RICKER HILL ORCHARDS,2,2,,,
,3614,J&F FARMS INC,1,1,,,
,3677,BREEZELANDS ORCHARDS INC,,1,,,
,3865,FORT RANCHES LP,1,1,,,
,4060,WOODSTOCK ORCHARDS LLC,1,1,,,
,4097,STORCO INC DBA HONEY BEE,1,1,,,
,4154,BRACKETT ORCHARDS,1,1,,,
,4309,SARATOGA APPLE INC,1,1,,,
,4355,CLARK BROTHERS ORCHARDS LLC,1,,,,
,4485,RANDALL ORCHARDS INC,1,1,,,
,4501,CURTIS I STILLMAN DBA STILL LIFE F,1,1,,,
,4700,BLUE HILLS ORCHARD INC,1,2,,,
,,WESTWOOD FARM INC,1,1,,,
,4820,MEADOW LEDGE FARM,1,1,,,
,5038,LYNN ETTE AND SONS INC,1,1,,,
,5656,LAVOIES FARM LLC,1,1,,,
,5722,BOLTON SPRING FARM,1,1,,,
,6206,TORREY FARMS,1,1,,,
,,TORREY FARMS INC,1,,,,
,6255,HILL ORCHARDS PARTNERSHIP,1,1,,,
,6381,WESTWARD ORCHARDS INC,1,1,,,
,6396,GREENWOOD FARM,1,1,,,
,6637,GILES FAMILY FARM INC,1,1,,,
,6868,PATTERSON FARM,1,1,,,
,,PATTERSON FARM LLC & FOUR STAR FAR,,,,1,
,6894,NICHOLS TREE FARM DBA,1,1,,,
,7004,BOLTON ORCHARDS,1,1,,,
,7021,FRUIT HILL ORCHARD,1,1,,,
,7338,FAIRVIEW ORCHARDS INC,2,2,,,
,7370,THE SCOTT FARM,1,1,,,
,7781,BIG O FARMS INC,1,1,,,
,7809,CARTER HILL ORCHARD,1,1,,,
,8202,THE APPLE FARM,2,2,,,
,8272,NEW ENGLAND APPLE COUNCIL,,,,5,
,,NEW ENGLAND APPLE COUNCIL INC,,,,1,
,8279,WALHOWDON FARM INC,,1,,,
,8308,MOUNTAIN ORCHARD LLC,1,1,,,
,8393,GILBERT D BARDEN JR,1,1,,,
,8490,KIRBY S CIDER MILL INC,1,1,,,
,8654,MEADOWBROOK ORCHARDS INC,1,1,,,
,8668,SUNNY CREST ORCHARDS,,1,,,
,8707,BROOKDALE FRUIT FARM INC,1,1,,,
,8755,CARLSON ORCHARDS INC,1,1,,,
,8795,OUT POST FARMS LLC,1,2,,,
,9203,RUSSELL FARMS,1,1,,,
,9391,HONEY POT HILL ORCHARDS,1,1,,,
,9395,YOKUN SEAT INC,1,1,,,
,9575,APEX ORCHARDS INC,1,1,,,
New Hampshire Total,,,63,70,,11,
New Jersey,1737,ALSTEDE FARMS LLC DBA ALSTEDE FARM,1,1,,,
,7038,STORMY ACRES,,,,1,
New Jersey Total,,,1,1,,1,
New Mexico,1328,HOOPER CATTLE CO LLC,1,1,,,
,6636,A&N LABOR CONTRACTING INC,1,1,,,
,6851,ENCHANTED PRODUCTS OF NEW MEXICO,,,,1,
,9447,CHILE RIVER INC,1,1,,,
New Mexico Total,,,3,3,,1,
New York,,DEFISHER FRUIT FARM & MASON FARMS,1,1,,,
,,HAHN FARM,,,,1,
,,(blank),,,,2,
,0030,B & D FARMS INC,1,1,,,
,0306,ALLSTATE APPLE EXCHANGE DBA HUDSON,,1,,,
,0483,SALINGER ORCHARD,1,1,,,
,0598,WILLIAMS FARM LLC,1,1,,,
,0655,SCHWAB FARM LLC,1,1,,,
,0887,L & M FARMS,1,1,,,
,0989,GMB FARMS LLC,1,1,,,
,1010,RIDGE VIEW FRUIT FARM LLC,2,2,,,
,1022,SIMPELAAR FRUIT FARMS,2,2,,,
,1074,WEED FARMS INC,1,1,,,
,1100,AMEELE FARMS LLC,1,1,,,
,1173,HERMENET FRUIT FARM,1,1,,,
,1421,CLEARVIEW ORCHARDS,1,1,,,
,1433,JAMES J PIEDIMONTE & SONS INC,2,2,,,
,1562,ORBAKERS FRUIT FARM INC,1,1,,,
,1983,YONDER FRUIT FARM INC,2,1,,,
,1989,YOUNGMAN BROS FRUIT FARM,1,1,,,
,2009,APPLE HILL ORCHARD,1,1,,,
,2013,S & SO PRODUCE FARMS,1,1,,,
,2024,LAMORA FARMS,1,1,,,
,2106,DOLAN ORCHARDS,,1,,,
,2135,CRITZ FARMS,1,1,,,
,2288,CHANCE FARMS LLC,1,1,,,
,2364,MCLUSKY ORCHARDS LLC,1,1,,,
,2781,WINDMILL FARMS LLC,1,1,,,
,2929,DB ORCHARDS LLC,1,1,,,
,2934,DATTHYN FRUIT FARM,1,1,,,
,2957,DANIEL P DEMARREE FRUIT FARMS,1,1,,,
,3091,DRESSEL FARMS LLC,1,1,,,
,3340,LYNOAKEN FARMS INC,1,1,,,
,3349,ROBERTS FARM MARKET,1,1,,,
,3412,FROST WINES LLC HERMANN J WIEMER,1,1,,,
,3418,SCHICHTEL S NURSERY INC,1,1,,,
,3468,SANDY KNOLL FARMS INC,1,1,,,
,3704,RICHARD W TACK FRUIT FARM,1,1,,,
,3923,WHITTIER FRUIT FARM LLC,1,1,,,
,3924,ABENDROTH S APPLE RIDGE ORCHARD,1,1,,,
,3989,GOLDEN HARVEST FARM,1,1,,,
,4042,M & W FARMS LLC,1,1,,,
,4187,DONALD DEMARREE FRUIT FARM INC,1,1,,,
,4196,BUSHART FARMS,1,1,,,
,4274,PLUMMER ORCHARDS LLC,1,1,,,
,4341,REEVES FARMS,,,,1,
,,REEVES FARMS LLC,,1,,,
,4409,DELLAMANO AND ASSOCIATES,1,1,,,
,4517,DOYLE FARMS INC,1,1,,,
,4746,M&M PRODUCE FARMS & SALES,1,1,,,
,4751,S & L FARMS,1,1,,,
,4756,PIONEER FRUIT FARM,1,1,,,
,4830,OTISCO ORCHARDS,1,1,,,
,4875,MAPLE RIDGE FRUIT FARM LLC,1,1,,,
,4882,CAHOON FARMS INC,2,2,,,
,4917,BOVEE FARMS LLC,1,1,,,
,4947,JOHNSON POTATO FARM,1,1,,,
,5028,FOX FRUIT FARMS LLC,2,2,,,
,5056,DEMBROSKI ORCHARDS,1,1,,,
,5068,SOONS ORCHARDS,1,1,,,
,5296,CRIST BROS ORCHARDS INC,1,1,,,
,5526,LEDGE ROCK FARMS LLC,1,1,,,
,5560,SERGEANT FARMS,2,1,,1,
,5606,JAY R DEBADTS AND SONS FRUIT FARMS,1,1,,,
,5614,YVONNE BARTLESON,1,1,,,
,5683,MARSHALL SKIFF ORCHARD LLC,1,1,,,
,5689,HART APPLE FARMS LLC,1,1,,,
,5841,KLEIN KILL FRUIT FARM,1,1,,,
,5852,JAM OF NEW PALTZ INC,1,1,,,
,5940,W G MINARD & SONS,1,1,,,
,5985,JH VERBRIDGE & SONS INC,1,1,,,
,6195,CHERRY LAWN FRUIT FARMS LLC,1,1,,,
,6265,BEHLING ORCHARDS,1,1,,,
,6279,FRESH START ORCHARDS LLC,1,1,,,
,6300,PETTIT FARMS LLC,1,1,,,
,,TREE CRISP ORCHARDS LLC,3,3,,,
,6328,J R FRAZIER & SONS INC,,,,1,
,6436,LAKEVIEW ORCHARDS INC,1,1,,,
,6478,INDIAN LADDER FARMS,1,1,,,
,,LUCULE LLC DBA BEAR CREEK FARM,,1,,,
,6481,SCHREIBER ORCHARDS,1,1,,,
,6629,EVERETT ORCHARDS LTD,2,3,,,
,6774,FREMOUW & SON LLC,1,1,,,
,6809,LAKEVILLE ORCHARDS,1,1,,,
,6813,OVERLOOK FARM INC,1,1,,,
,7035,A ZIMMERMAN & SONS INC,1,1,,,
,7125,ORCHARD DALE FRUIT CO LLC,1,1,,,
,7149,G & G FARMS INC,1,1,,,
,7486,KAST FARMS INC,1,1,,,
,7609,GOOLD ORCHARDS,2,2,,,
,7685,TERRACE MOUNTAIN ORCHARD,1,1,,,
,7686,M G HURD & SONS,1,1,,,
,7729,DONATO FARMS INC,1,2,,,
,7782,FIX BROTHERS INC,1,1,,,
,7807,BEAK AND SKIFF APPLE FARMS INC,1,1,,,
,7831,STUART FARM LLC,1,1,,,
,7859,C & M FRUIT GROWERS INC,1,1,,,
,8161,WAGNERS FARM & MARKET INC,1,1,,,
,8208,VAN FLEET ORCHARDS LLC,1,1,,,
,8256,MAMMOSER FARMS INC,,1,,,
,8270,ALTOBELLI FAMILY FARMS,,1,,,
,8297,HH DOBBINS & SON LLC,1,1,,,
,8445,SUN STAR FARMER INC,,,,2,
,8458,PORPIGLIA FARMS INC,1,1,,,
,8776,PAVERO COLD STORAGE,1,1,,,
,8802,HUDSON VALLEY GROWN DBA HEPWORTH F,1,1,,,
,8916,WALTER W BOISE,1,1,,,
,8979,APPLE ACRES,,,,1,
,,APPLE ACRES LLC,,1,,,
,9044,KC BAILEY ORCHARDS INC,1,1,,,
,9170,GEORGE W SAULPAUGH AND SON INC,1,1,,,
,9221,C&D WAGER INC,1,1,,,
,9360,TUREK FARMS PARTNERS LLC,2,2,,,
,9787,LITTLE LAKE FARM LLC,1,1,,,
,9852,BECKENS FRUIT FARM INC,1,1,,,
,9910,LAKESIDE ORCHARDS INC,1,1,,,
,9942,AGPRO FARMS,1,1,,,
,9985,FREE BIRD FARMS LLC,1,1,,,
,9991,WAYSIDE GARDEN CENTER INC,,,,1,
New York Total,,,117,124,,10,
North Carolina,0054,CHERRY BAY ORCHARDS,2,2,,,
,0183,DEREK TOSSETT FARM,1,1,,,
,0260,DEL GATES FARMS INC,1,1,,,
,0261,DKH INC,1,1,,,
,0297,RANDY HARDIN FARMS INC,1,1,,,
,0343,A & J KIRBY FARMS LLC,1,1,,,
,0411,BXL INC,1,1,,,
,0494,BRIGHTLY FARMS LLC,1,1,,,
,0509,BP MILLER FARMS,1,1,,,
,0572,D&T FARMS INC,1,1,,,
,0593,HABERER FOODS INTL INC DBA HABERER,,1,,,
,0729,SOL HARVESTING LLC,10,12,,,
,0756,DLR FRUIT & VEGETABLE,5,6,,,
,0776,G DEEUGENIO & SONS,1,1,,,
,0810,ECKERT ORCHARDS INC,1,1,,,
,0904,TRAVIS MEIER,,1,,,
,1027,KEVIN AHLEMEIER FARMS INC,,,,1,
,1094,(blank),2,2,,,
,1117,ROGER COFFEY AND SONS NURSERY,,,1,,
,1259,HOOD BROTHERS FARMS,1,1,,,
,1364,LAUREL SPRINGS NURSERY LLC,1,1,,,
