                                                                                                                                                                                                                                                          ,,,,,,,,,,
"Source: USCIS, data as of October 5, 2018. Notes:  All data are based on petitions received during the fiscal year for both initial employment and continuing employment. Initial employment includes both cap-subject and cap-exempt petitions. Percentages may not add due to rounding.  ",,,,,,,,,,
,Female,,Male,,Missing/Other,,Grand Total,,,
Country of Birth,Number,Percent of Total,Number,Percent of Total,Number,Percent of Total,Number,Percent,,
NORWAY,34,40.5%,49,58.3%,1,1.2%,84,0.0%,,
BOLIVIA,43,52.4%,39,47.6%,,,82,0.0%,,
CAMEROON,25,30.5%,57,69.5%,,,82,0.0%,,
GEORGIA,38,46.3%,44,53.7%,,,82,0.0%,,
OMAN,34,42.0%,47,58.0%,,,81,0.0%,,
CROATIA,27,34.2%,52,65.8%,,,79,0.0%,,
CZECHOSLOVAKIA (FORMER),23,29.1%,56,70.9%,,,79,0.0%,,
MOLDOVA,32,40.5%,46,58.2%,1,1.3%,79,0.0%,,
BAHRAIN,22,28.6%,55,71.4%,,,77,0.0%,,
TUNISIA,13,17.3%,62,82.7%,,,75,0.0%,,
MONGOLIA,42,56.8%,32,43.2%,,,74,0.0%,,
ARMENIA,24,33.8%,47,66.2%,,,71,0.0%,,
UZBEKISTAN,16,22.5%,54,76.1%,1,1.4%,71,0.0%,,
URUGUAY,25,35.7%,45,64.3%,,,70,0.0%,,
IRAQ,10,14.5%,59,85.5%,,,69,0.0%,,
UGANDA,30,43.5%,39,56.5%,,,69,0.0%,,
PANAMA,25,38.5%,40,61.5%,,,65,0.0%,,
MYANMAR,32,50.0%,32,50.0%,,,64,0.0%,,
SLOVAKIA,19,30.6%,43,69.4%,,,62,0.0%,,
SERBIA,23,39.7%,35,60.3%,,,58,0.0%,,
TANZANIA,18,32.7%,37,67.3%,,,55,0.0%,,
ALGERIA,21,39.6%,32,60.4%,,,53,0.0%,,
BOSNIA AND HERZEGOVINA,32,60.4%,21,39.6%,,,53,0.0%,,
QATAR,15,30.0%,35,70.0%,,,50,0.0%,,
ZAMBIA,22,44.0%,28,56.0%,,,50,0.0%,,
BARBADOS,29,59.2%,19,38.8%,1,2.0%,49,0.0%,,
CYPRUS,9,18.4%,40,81.6%,,,49,0.0%,,
HAITI,16,32.7%,33,67.3%,,,49,0.0%,,
COTE D'IVOIRE,21,43.8%,27,56.3%,,,48,0.0%,,
LITHUANIA,25,52.1%,23,47.9%,,,48,0.0%,,
RWANDA,11,23.4%,36,76.6%,,,47,0.0%,,
SUDAN,8,17.0%,39,83.0%,,,47,0.0%,,
SENEGAL,12,27.3%,32,72.7%,,,44,0.0%,,
AZERBAIJAN,12,27.9%,31,72.1%,,,43,0.0%,,
LATVIA,19,45.2%,23,54.8%,,,42,0.0%,,
ICELAND,9,23.1%,30,76.9%,,,39,0.0%,,
MACEDONIA,15,38.5%,24,61.5%,,,39,0.0%,,
MAURITIUS,18,48.6%,19,51.4%,,,37,0.0%,,
GRENADA,27,81.8%,6,18.2%,,,33,0.0%,,
SAINT LUCIA,18,54.5%,15,45.5%,,,33,0.0%,,
SLOVENIA,16,48.5%,17,51.5%,,,33,0.0%,,
CAMBODIA,9,28.1%,23,71.9%,,,32,0.0%,,
MACAU,11,34.4%,21,65.6%,,,32,0.0%,,
NICARAGUA,14,43.8%,17,53.1%,1,3.1%,32,0.0%,,
"CONGO, REPUBLIC",6,19.4%,25,80.6%,,,31,0.0%,,
PARAGUAY,10,34.5%,19,65.5%,,,29,0.0%,,
DOMINICA,19,73.1%,7,26.9%,,,26,0.0%,,
BELIZE,12,48.0%,13,52.0%,,,25,0.0%,,
GUYANA,9,36.0%,16,64.0%,,,25,0.0%,,
KYRGYZSTAN,14,56.0%,11,44.0%,,,25,0.0%,,
CZECHIA,12,52.2%,11,47.8%,,,23,0.0%,,
BOTSWANA,12,54.5%,10,45.5%,,,22,0.0%,,
TAJIKISTAN,7,31.8%,15,68.2%,,,22,0.0%,,
ESTONIA,6,30.0%,14,70.0%,,,20,0.0%,,
AFGHANISTAN,3,15.8%,16,84.2%,,,19,0.0%,,
MONTENEGRO,10,52.6%,9,47.4%,,,19,0.0%,,
BURKINA FASO,3,16.7%,15,83.3%,,,18,0.0%,,
TURKMENISTAN,9,52.9%,8,47.1%,,,17,0.0%,,
YEMEN,7,41.2%,10,58.8%,,,17,0.0%,,
TASMANIA,4,25.0%,12,75.0%,,,16,0.0%,,
BERMUDA,9,60.0%,6,40.0%,,,15,0.0%,,
KOSOVO,4,26.7%,11,73.3%,,,15,0.0%,,
NORTHERN IRELAND,7,46.7%,8,53.3%,,,15,0.0%,,
BENIN,6,42.9%,8,57.1%,,,14,0.0%,,
GAMBIA,8,57.1%,6,42.9%,,,14,0.0%,,
ANTIGUA AND BARBUDA,4,30.8%,9,69.2%,,,13,0.0%,,
TOGO,4,33.3%,8,66.7%,,,12,0.0%,,
