,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category and Form No.,,Description,Forms by Status and Period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1st Quarter1,,,,2nd Quarter1,,,,3rd Quarter1,,,,4th Quarter1,,,,Fiscal Year 2013 To-Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total - All Forms,,," 1,723,648 "," 1,285,376 "," 100,649 "," 2,844,803 "," 1,495,598 "," 1,563,914 "," 114,616 "," 2,764,101 "," 1,919,703 "," 1,519,803 "," 119,929 "," 3,433,216 "," 1,759,072 "," 1,810,250 "," 133,830 "," 2,977,138 "," 6,898,021 "," 6,179,343 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family Based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-526,Petitions by Entrepreneurs," 1,935 ", 693 , 263 ," 6,095 "," 1,350 ", 833 , 220 ," 6,506 "," 1,437 "," 1,001 ", 142 ," 6,840 "," 1,624 "," 1,172 ", 318 ," 7,131 "," 6,346 "," 3,699 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-765,Employment Authorization Documents," 521,554 "," 333,067 "," 12,796 "," 438,009 "," 353,849 "," 407,179 "," 15,606 "," 371,448 "," 466,509 "," 416,296 "," 20,746 "," 401,653 "," 439,669 "," 505,347 "," 24,075 "," 307,568 "," 1,781,581 "," 1,661,889 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-829,Remove Conditions on Entrepreneur, 203 , 46 , 15 ," 1,155 ", 224 , 421 , D , 949 , 438 , 200 , 11 ," 1,178 ", 352 , 177 , D ," 1,345 "," 1,217 ", 844 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-924/924A,Regional Center Applications, 255 , 15 , D , 535 , 70 , 52 , D , 555 , 51 , 30 , 10 , 474 , 60 , 123 , D , 300 , 436 , 220 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humanitarian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-485,Asylum Adjustments," 9,497 "," 8,104 ", 215 ," 18,228 "," 10,420 "," 10,997 ", 351 ," 17,771 "," 12,540 "," 12,409 ", 404 ," 17,414 "," 11,328 "," 10,496 ", 347 ," 17,245 "," 43,785 "," 42,006 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-485,Refugee Adjustments," 13,328 "," 9,727 ", 408 ," 18,853 "," 13,232 "," 11,423 ", 432 ," 20,322 "," 14,254 "," 14,438 ", 381 ," 20,003 "," 16,780 "," 14,180 ", 463 ," 21,678 "," 57,594 "," 49,768 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-485,Indo Chinese Adjustments , -   , D , D , D , -   , D , D , 27 , -   , D , -   , 28 , -   , D , -   , 15 , -   , 20 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-485,Cuban Adjustment Act," 8,836 "," 2,383 ", 275 ," 23,068 "," 9,722 "," 3,948 ", 385 ," 28,347 "," 10,282 "," 5,403 ", 430 ," 32,752 "," 10,280 "," 15,241 ", 477 ," 27,534 "," 39,120 "," 26,975 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-589,Asylum Application," 10,747 "," 2,925 ", 264 ," 18,966 "," 10,519 "," 3,522 ", 284 ," 21,663 "," 11,762 "," 3,019 ", 191 ," 64,359 "," 11,425 "," 2,496 ", 152 ," 92,122 "," 44,453 "," 11,962 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
