"Number of Form I-130, Petition for Alien Relative",,,,,,,,,,,,,,
"by Category, Case Status, and USCIS Field Office or Service Center Location  ",,,,,,,,,,,,,,
"July 1 - September 30, 2021",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
USCIS Field Office or Service Center Location,,,Petitions by Category of Relatives and Case Status,,,,,,,,,,,
,,,Immediate Relative1,,,,All Other Relative1,,,,Total,,,
,,,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5
 ,,,,,,,,,,,,,,
Grand Total,,,"154,479","119,139","10,570","504,822","61,762","34,045","5,875","1,015,084","216,241","153,184","16,445","1,519,906"
,,,,,,,,,,,,,,
Field Office by State6,,Field Office Code,,,,,,,,,,,,
Alabama,,,,,,,,,,,,,,
,Reno ,REN,126,47, D ,451, D , D , -   ,22,131,48, D ,473
New Hampshire,,, , , , , , , , , , , , 
,Manchester ,MAN,115,154,10,338, D , D , D ,18,119,156,11,356
New Jersey,,, , , , , , , , , , , , 
,Mount Laurel,MTL,471,464,63,"2,199",20,12, D ,125,491,476,68,"2,324"
,Newark ,NEW,"2,138","1,693",392,"11,213",70,84,25,590,"2,208","1,777",417,"11,803"
New Mexico,,, , , , , , , , , , , , 
,Albuquerque ,ABQ,251,248, D ,485, D , D , -   ,15,254,252, D ,500
New York,,, , , , , , , , , , , , 
,Albany ,ALB,108,271,25,897, D ,12, D ,97,113,283,26,994
,Brooklyn,BNY,"1,062","1,303",251,"9,641",30,66,10,736,"1,092","1,369",261,"10,377"
,Buffalo ,BUF,228,175,34,835, D ,10, D ,88,235,185,43,923
,Long Island,LNY,820,"1,109",112,"4,262",34,38,10,281,854,"1,147",122,"4,543"
,New York ,NYC,"1,959","2,429",706,"7,633",65,171,58,585,"2,024","2,600",764,"8,218"
,Queens,QNS,"1,320","2,053",303,"7,767",55,121,11,690,"1,375","2,174",314,"8,457"
North Carolina,,, , , , , , , , , , , , 
,Charlotte ,CLT,522,474,55,"2,361",15,18, D ,99,537,492,62,"2,460"
,Raleigh,RAL,559,281,25,"2,371",13,17, D ,127,572,298,29,"2,498"
Ohio,,, , , , , , , , , , , , 
,Cincinnati ,CIN,170,95,11,778, D , D , D ,64,176,98,13,842
,Cleveland ,CLE,218,120,23,929,10, D , D ,68,228,127,25,997
,Columbus,CLM,237,107,29,"1,103", D ,10, D ,55,241,117,31,"1,158"
Oklahoma,,, , , , , , , , , , , , 
,Oklahoma City ,OKC,337,313,39,"1,272", D ,10, -   ,47,345,323,39,"1,319"
Oregon,,, , , , , , , , , , , , 
,Portland ,POO,409,343,18,"1,669",11,10, D ,105,420,353,22,"1,774"
Pennsylvania,,, , , , , , , , , , , , 
,Philadelphia,PHI,"1,239","1,363",132,"5,166",42,56, D ,352,"1,281","1,419",138,"5,518"
,Pittsburgh ,PIT,166,99,17,809, D , D , D ,42,175,104,19,851
Rhode Island,,, , , , , , , , , , , , 
,Providence ,PRO,191,164,25,861, D , D , D ,40,193,167,28,901
South Carolina,,, , , , , , , , , , , , 
,Charleston ,CHL,241,305,27,"1,072", D ,11, D ,55,249,316,31,"1,127"
,Greer,GRR,140,158,19,547, D ,10, D ,22,144,168,21,569
Tennessee,,, , , , , , , , , , , , 
,Memphis ,MEM,188,809,24,"1,602", D ,11, D ,52,195,820,27,"1,654"
,Nashville,NTN,346,329,16,"1,473",13, D , D ,73,359,336,17,"1,546"
Texas,,, , , , , , , , , , , , 
,Dallas ,DAL,"2,515","2,345",278,"10,115",76,119,16,531,"2,591","2,464",294,"10,646"
,El Paso ,ELP,669,384,84,"1,784",17,11,10,88,686,395,94,"1,872"
,Harlingen ,HLG,701,950,31,"1,404",14,33, D ,41,715,983,33,"1,445"
,Houston ,HOU,"2,397","2,180",296,"11,183",73,125,23,678,"2,470","2,305",319,"11,861"
,San Antonio ,SNA,"1,448","1,301",103,"4,005",55,62, D ,225,"1,503","1,363",111,"4,230"
Utah,,, , , , , , , , , , , , 
,Salt Lake City ,SLC,617,459,42,"2,754", D ,22, D ,75,622,481,45,"2,829"
Vermont,,, , , , , , , , , , , , 
,St. Albans ,STA,30,47, D ,150, -   , D , D , D ,30,49, D ,156
Virginia,,, , , , , , , , , , , , 
,Norfolk ,NOR,313,247,31,"1,545",11, D , D ,99,324,253,36,"1,644"
Washington,,, , , , , , , , , , , , 
,Seattle ,SEA,776,641,56,"5,017",43,84, D ,497,819,725,63,"5,514"
,Spokane ,SPO,44,11, D ,198, D , -   , D ,13,47,11, D ,211
,Yakima,YAK,111,85, D ,637, D , D , D ,50,114,90, D ,687
West Virginia,,, , , , , , , , , , , , 
,Charleston ,CHS, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Wisconsin,,, , , , , , , , , , , , 
,Milwaukee ,MIL,298,157,17,"1,256", D , D , D ,62,304,164,19,"1,318"
,,,,,,,,,,,,,,
Field Office by Territory6,,, , , , , , , , , , , , 
Guam,,, , , , , , , , , , , , 
,Agana,AGA,100,112, D ,516, D , D , -   ,28,105,115, D ,544
U.S. Virgin Islands,,, , , , , , , , , , , , 
,Charlotte Amalie,CHA,14,31, D ,64, -   , -   , -   ,10,14,31, D ,74
,Christiansted ,CHR, D , -   , -   ,18, -   , -   , -   , -   , D , -   , -   ,18
Puerto Rico,,, , , , , , , , , , , , 
,San Juan ,SAJ,129,99,16,447, D , D , -   ,22,133,107,16,469
,,,,,,,,,,,,,,
Service Center,,, , , , , , , , , , , , 
,California,WSC,"19,964","9,473",626,"48,006","11,453","6,926","2,343","712,371","31,417","16,399","2,969","760,377"
,Nebraska,NSC,"20,101","14,086",957,"26,814","11,982","5,540",552,"46,929","32,083","19,626","1,509","73,743"
,Texas,SSC,"20,105","15,698","1,137","69,088","11,981","5,614",255,"58,670","32,086","21,312","1,392","127,758"
,Vermont,ESC,"20,262","9,560",490,"54,883","12,309","10,813","2,002","104,092","32,571","20,373","2,492","158,975"
,Potomac,YSC,"20,167","15,633","1,061","69,981","12,163","2,273",162,"77,499","32,330","17,906","1,223","147,480"
,,,,,,,,,,,,,,
Table Key:,,,,,,,,,,,,,,
D  Data withheld to protect individuals' privacy.,,,,,,,,,,,,,,
#NAME?,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Reference(s):,,,,,,,,,,,,,,
"1 ""Immediate Relatives"" refers to petitions to sponsor Immediate Relatives of U.S. citizens. ""All Other Relatives"" refers to petitions to sponsor relatives under Family-Based Preferences.",,,,,,,,,,,,,,
2  The number of new petitions received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,,
3  The number of petitions approved during the reporting period.,,,,,,,,,,,,,,
"4  The number of petitions that were denied, terminated, or withdrawn during the reporting period.",,,,,,,,,,,,,,
5  The number of petitions awaiting a decision as of the end of the reporting period.,,,,,,,,,,,,,,
6  Represents the office location. The office location does not reflect the complete area covered by the office’s jurisdiction. Please refer to USCIS.gov for office jurisdictions.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Note(s):,,,,,,,,,,,,,,
"1) Some petitions approved, denied, or pending a decision may have been received in prior reporting periods. ",,,,,,,,,,,,,,
2) The report reflects the most up-to-date estimate available at the time the report is queried.,,,,,,,,,,,,,,
3) Counts may differ from those reported in previous periods due to system updates and post-adjudicative outcomes.,,,,,,,,,,,,,,
"4) For a complete list of USCIS forms and descriptions, visit https://www.uscis.gov/forms.",,,,,,,,,,,,,,
"5) Many USCIS international offices have permanently closed in the last two years; for a list of those offices, please see https://www.uscis.gov/about-us/uscis-office-closings.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Source:,,,,,,,,,,,,,,
"Department of Homeland Security (DHS), U.S. Citizenship and Immigration Services (USCIS), Office of Performance and Quality",,,,,,,,,,,,,,
"Performance Reporting Tool, queried November 2021, TRK #8237.",,,,,,,,,,,,,,
